TIME,GEO,FORD,SEX,PROF_POS,SECTPERF,VALUE
2013,HR,FORD5,T,TOTAL,TOTAL,2509
2014,HR,FORD5,T,TOTAL,TOTAL,2607
2001,CY,FORD5,T,TOTAL,TOTAL,268
2002,CY,FORD5,T,TOTAL,TOTAL,316
2003,CY,FORD5,T,TOTAL,TOTAL,333
2004,CY,FORD5,T,TOTAL,TOTAL,387
2005,CY,FORD5,T,TOTAL,TOTAL,418
2006,CY,FORD5,T,TOTAL,TOTAL,459
2007,CY,FORD5,T,TOTAL,TOTAL,462
2008,CY,FORD5,T,TOTAL,TOTAL,451
2009,CY,FORD5,T,TOTAL,TOTAL,515
2010,CY,FORD5,T,TOTAL,TOTAL,514
2011,CY,FORD5,T,TOTAL,TOTAL,578
2012,CY,FORD5,T,TOTAL,TOTAL,566
2013,CY,FORD5,T,TOTAL,TOTAL,701
2014,CY,FORD5,T,TOTAL,TOTAL,618
2000,HU,FORD5,T,TOTAL,TOTAL,5403
2001,HU,FORD5,T,TOTAL,TOTAL,6368
2002,HU,FORD5,T,TOTAL,TOTAL,6223
2003,HU,FORD5,T,TOTAL,TOTAL,6100
2004,HU,FORD5,T,TOTAL,TOTAL,8711
2005,HU,FORD5,T,TOTAL,TOTAL,8925
2006,HU,FORD5,T,TOTAL,TOTAL,8997
2007,HU,FORD5,T,TOTAL,TOTAL,8499
2008,HU,FORD5,T,TOTAL,TOTAL,8082
2009,HU,FORD5,T,TOTAL,TOTAL,7034
2010,HU,FORD5,T,TOTAL,TOTAL,7033
2011,HU,FORD5,T,TOTAL,TOTAL,7240
2012,HU,FORD5,T,TOTAL,TOTAL,6369
2013,HU,FORD5,T,TOTAL,TOTAL,6263
2014,HU,FORD5,T,TOTAL,TOTAL,5481
2005,MT,FORD5,T,TOTAL,TOTAL,281
2006,MT,FORD5,T,TOTAL,TOTAL,287
2007,MT,FORD5,T,TOTAL,TOTAL,259
2008,MT,FORD5,T,TOTAL,TOTAL,288
2009,MT,FORD5,T,TOTAL,TOTAL,258
2010,MT,FORD5,T,TOTAL,TOTAL,299
2011,MT,FORD5,T,TOTAL,TOTAL,341
2012,MT,FORD5,T,TOTAL,TOTAL,344
2013,MT,FORD5,T,TOTAL,TOTAL,367
2014,MT,FORD5,T,TOTAL,TOTAL,358
2011,NL,FORD5,T,TOTAL,TOTAL,16422
2012,NL,FORD5,T,TOTAL,TOTAL,17769
2000,PL,FORD5,T,TOTAL,TOTAL,15977
2001,PL,FORD5,T,TOTAL,TOTAL,15444
2002,PL,FORD5,T,TOTAL,TOTAL,15507
2003,PL,FORD5,T,TOTAL,TOTAL,19738
2004,PL,FORD5,T,TOTAL,TOTAL,20958
2005,PL,FORD5,T,TOTAL,TOTAL,20625
2006,PL,FORD5,T,TOTAL,TOTAL,19755
2007,PL,FORD5,T,TOTAL,TOTAL,17483
2008,PL,FORD5,T,TOTAL,TOTAL,16118
2009,PL,FORD5,T,TOTAL,TOTAL,21065
2010,PL,FORD5,T,TOTAL,TOTAL,18145
2011,PL,FORD5,T,TOTAL,TOTAL,18881
2012,PL,FORD5,T,TOTAL,TOTAL,19276
2014,PL,FORD5,T,TOTAL,TOTAL,19993
2000,PT,FORD5,T,TOTAL,TOTAL,5738
2002,PT,FORD5,T,TOTAL,TOTAL,6637
2003,PT,FORD5,T,TOTAL,TOTAL,7260
2005,PT,FORD5,T,TOTAL,TOTAL,6502
2006,PT,FORD5,T,TOTAL,TOTAL,7939
2007,PT,FORD5,T,TOTAL,TOTAL,9376
2008,PT,FORD5,T,TOTAL,TOTAL,16396
2009,PT,FORD5,T,TOTAL,TOTAL,15969
2010,PT,FORD5,T,TOTAL,TOTAL,16922
2011,PT,FORD5,T,TOTAL,TOTAL,16031
2012,PT,FORD5,T,TOTAL,TOTAL,15904
2013,PT,FORD5,T,TOTAL,TOTAL,16047
2014,PT,FORD5,T,TOTAL,TOTAL,15443
2002,RO,FORD5,T,TOTAL,TOTAL,2415
2003,RO,FORD5,T,TOTAL,TOTAL,2763
2004,RO,FORD5,T,TOTAL,TOTAL,2426
2005,RO,FORD5,T,TOTAL,TOTAL,4072
2006,RO,FORD5,T,TOTAL,TOTAL,5072
2007,RO,FORD5,T,TOTAL,TOTAL,4132
2008,RO,FORD5,T,TOTAL,TOTAL,5466
2009,RO,FORD5,T,TOTAL,TOTAL,5264
2010,RO,FORD5,T,TOTAL,TOTAL,5538
2011,RO,FORD5,T,TOTAL,TOTAL,5093
2012,RO,FORD5,T,TOTAL,TOTAL,5213
2013,RO,FORD5,T,TOTAL,TOTAL,2870
2014,RO,FORD5,T,TOTAL,TOTAL,4784
2002,SI,FORD5,T,TOTAL,TOTAL,1657
2003,SI,FORD5,T,TOTAL,TOTAL,642
2004,SI,FORD5,T,TOTAL,TOTAL,688
2005,SI,FORD5,T,TOTAL,TOTAL,955
2006,SI,FORD5,T,TOTAL,TOTAL,1008
2007,SI,FORD5,T,TOTAL,TOTAL,1185
2008,SI,FORD5,T,TOTAL,TOTAL,1260
2009,SI,FORD5,T,TOTAL,TOTAL,1360
2010,SI,FORD5,T,TOTAL,TOTAL,1433
2011,SI,FORD5,T,TOTAL,TOTAL,1682
2012,SI,FORD5,T,TOTAL,TOTAL,1557
2013,SI,FORD5,T,TOTAL,TOTAL,1502
2000,SK,FORD5,T,TOTAL,TOTAL,3456
2001,SK,FORD5,T,TOTAL,TOTAL,3588
2002,SK,FORD5,T,TOTAL,TOTAL,3012
2003,SK,FORD5,T,TOTAL,TOTAL,3120
2004,SK,FORD5,T,TOTAL,TOTAL,3879
2005,SK,FORD5,T,TOTAL,TOTAL,3559
2006,SK,FORD5,T,TOTAL,TOTAL,4120
2007,SK,FORD5,T,TOTAL,TOTAL,4456
2008,SK,FORD5,T,TOTAL,TOTAL,4635
2009,SK,FORD5,T,TOTAL,TOTAL,4510
2010,SK,FORD5,T,TOTAL,TOTAL,4802
2011,SK,FORD5,T,TOTAL,TOTAL,4896
2012,SK,FORD5,T,TOTAL,TOTAL,4814
2013,SK,FORD5,T,TOTAL,TOTAL,5175
2014,SK,FORD5,T,TOTAL,TOTAL,4836
2012,NO,FORD5,T,TOTAL,TOTAL,9224
2012,BA,FORD5,T,TOTAL,TOTAL,114
2013,BA,FORD5,T,TOTAL,TOTAL,395
2011,ME,FORD5,T,TOTAL,TOTAL,398
2013,ME,FORD5,T,TOTAL,TOTAL,356
2014,ME,FORD5,T,TOTAL,TOTAL,336
2005,MK,FORD5,T,TOTAL,TOTAL,165
2006,MK,FORD5,T,TOTAL,TOTAL,135
2007,MK,FORD5,T,TOTAL,TOTAL,527
2008,MK,FORD5,T,TOTAL,TOTAL,494
2009,MK,FORD5,T,TOTAL,TOTAL,480
2015,MK,FORD5,T,TOTAL,TOTAL,1132
2008,RS,FORD5,T,TOTAL,TOTAL,3074
2009,RS,FORD5,T,TOTAL,TOTAL,3541
2010,RS,FORD5,T,TOTAL,TOTAL,3218
2011,RS,FORD5,T,TOTAL,TOTAL,3466
2012,RS,FORD5,T,TOTAL,TOTAL,3530
2013,RS,FORD5,T,TOTAL,TOTAL,3653
2014,RS,FORD5,T,TOTAL,TOTAL,4133
2005,TR,FORD5,T,TOTAL,TOTAL,15690
2006,TR,FORD5,T,TOTAL,TOTAL,16660
2007,TR,FORD5,T,TOTAL,TOTAL,18436
2008,TR,FORD5,T,TOTAL,TOTAL,18944
2009,TR,FORD5,T,TOTAL,TOTAL,19871
2010,TR,FORD5,T,TOTAL,TOTAL,22132
2011,TR,FORD5,T,TOTAL,TOTAL,24598
2012,TR,FORD5,T,TOTAL,TOTAL,27231
2013,TR,FORD5,T,TOTAL,TOTAL,30787
2014,TR,FORD5,T,TOTAL,TOTAL,33794
2000,BG,FORD6,T,TOTAL,TOTAL,1306
2001,BG,FORD6,T,TOTAL,TOTAL,1305
2002,BG,FORD6,T,TOTAL,TOTAL,1336
2003,BG,FORD6,T,TOTAL,TOTAL,1340
2004,BG,FORD6,T,TOTAL,TOTAL,1255
2005,BG,FORD6,T,TOTAL,TOTAL,1371
2006,BG,FORD6,T,TOTAL,TOTAL,1336
2007,BG,FORD6,T,TOTAL,TOTAL,1463
2008,BG,FORD6,T,TOTAL,TOTAL,1441
2009,BG,FORD6,T,TOTAL,TOTAL,1814
2010,BG,FORD6,T,TOTAL,TOTAL,1860
2011,BG,FORD6,T,TOTAL,TOTAL,2037
2012,BG,FORD6,T,TOTAL,TOTAL,1922
2013,BG,FORD6,T,TOTAL,TOTAL,1964
2014,BG,FORD6,T,TOTAL,TOTAL,1896
2000,CZ,FORD6,T,TOTAL,TOTAL,3590
2001,CZ,FORD6,T,TOTAL,TOTAL,4978
2002,CZ,FORD6,T,TOTAL,TOTAL,2587
2003,CZ,FORD6,T,TOTAL,TOTAL,3401
2004,CZ,FORD6,T,TOTAL,TOTAL,3260
2005,CZ,FORD6,T,TOTAL,TOTAL,4005
2006,CZ,FORD6,T,TOTAL,TOTAL,4167
2007,CZ,FORD6,T,TOTAL,TOTAL,4301
2008,CZ,FORD6,T,TOTAL,TOTAL,4304
2009,CZ,FORD6,T,TOTAL,TOTAL,4921
2010,CZ,FORD6,T,TOTAL,TOTAL,5428
2011,CZ,FORD6,T,TOTAL,TOTAL,4567
2012,CZ,FORD6,T,TOTAL,TOTAL,4862
2013,CZ,FORD6,T,TOTAL,TOTAL,4825
2014,CZ,FORD6,T,TOTAL,TOTAL,4887
2015,CZ,FORD6,T,TOTAL,TOTAL,5276
2007,DK,FORD6,T,TOTAL,TOTAL,2872
2011,EL,FORD6,T,TOTAL,TOTAL,10558
2002,HR,FORD6,T,TOTAL,TOTAL,974
2003,HR,FORD6,T,TOTAL,TOTAL,852
2004,HR,FORD6,T,TOTAL,TOTAL,1404
2005,HR,FORD6,T,TOTAL,TOTAL,1575
2006,HR,FORD6,T,TOTAL,TOTAL,1756
2007,HR,FORD6,T,TOTAL,TOTAL,1850
2008,HR,FORD6,T,TOTAL,TOTAL,1864
2009,HR,FORD6,T,TOTAL,TOTAL,2172
2010,HR,FORD6,T,TOTAL,TOTAL,1807
2011,HR,FORD6,T,TOTAL,TOTAL,1416
2012,HR,FORD6,T,TOTAL,TOTAL,1590
2013,HR,FORD6,T,TOTAL,TOTAL,1233
2014,HR,FORD6,T,TOTAL,TOTAL,1326
2001,CY,FORD6,T,TOTAL,TOTAL,138
2002,CY,FORD6,T,TOTAL,TOTAL,160
2003,CY,FORD6,T,TOTAL,TOTAL,180
2004,CY,FORD6,T,TOTAL,TOTAL,213
2005,CY,FORD6,T,TOTAL,TOTAL,207
2006,CY,FORD6,T,TOTAL,TOTAL,207
2007,CY,FORD6,T,TOTAL,TOTAL,205
2008,CY,FORD6,T,TOTAL,TOTAL,216
2009,CY,FORD6,T,TOTAL,TOTAL,225
2010,CY,FORD6,T,TOTAL,TOTAL,220
2011,CY,FORD6,T,TOTAL,TOTAL,256
2012,CY,FORD6,T,TOTAL,TOTAL,315
2013,CY,FORD6,T,TOTAL,TOTAL,326
2014,CY,FORD6,T,TOTAL,TOTAL,319
2000,HU,FORD6,T,TOTAL,TOTAL,7803
2001,HU,FORD6,T,TOTAL,TOTAL,8548
2002,HU,FORD6,T,TOTAL,TOTAL,9385
2003,HU,FORD6,T,TOTAL,TOTAL,9512
2004,HU,FORD6,T,TOTAL,TOTAL,6610
2005,HU,FORD6,T,TOTAL,TOTAL,6776
2006,HU,FORD6,T,TOTAL,TOTAL,6356
2007,HU,FORD6,T,TOTAL,TOTAL,5238
2008,HU,FORD6,T,TOTAL,TOTAL,5848
2009,HU,FORD6,T,TOTAL,TOTAL,5729
2010,HU,FORD6,T,TOTAL,TOTAL,5764
2011,HU,FORD6,T,TOTAL,TOTAL,5433
2012,HU,FORD6,T,TOTAL,TOTAL,4934
2013,HU,FORD6,T,TOTAL,TOTAL,4521
2014,HU,FORD6,T,TOTAL,TOTAL,4993
2005,MT,FORD6,T,TOTAL,TOTAL,122
2006,MT,FORD6,T,TOTAL,TOTAL,133
2007,MT,FORD6,T,TOTAL,TOTAL,136
2008,MT,FORD6,T,TOTAL,TOTAL,146
2009,MT,FORD6,T,TOTAL,TOTAL,148
2010,MT,FORD6,T,TOTAL,TOTAL,165
2011,MT,FORD6,T,TOTAL,TOTAL,164
2012,MT,FORD6,T,TOTAL,TOTAL,178
2013,MT,FORD6,T,TOTAL,TOTAL,181
2014,MT,FORD6,T,TOTAL,TOTAL,177
2011,NL,FORD6,T,TOTAL,TOTAL,6176
2012,NL,FORD6,T,TOTAL,TOTAL,5679
2000,PL,FORD6,T,TOTAL,TOTAL,9138
2001,PL,FORD6,T,TOTAL,TOTAL,9941
2002,PL,FORD6,T,TOTAL,TOTAL,12679
2003,PL,FORD6,T,TOTAL,TOTAL,11190
2004,PL,FORD6,T,TOTAL,TOTAL,10790
2005,PL,FORD6,T,TOTAL,TOTAL,10213
2006,PL,FORD6,T,TOTAL,TOTAL,10349
2007,PL,FORD6,T,TOTAL,TOTAL,9237
2008,PL,FORD6,T,TOTAL,TOTAL,10657
2009,PL,FORD6,T,TOTAL,TOTAL,11239
2010,PL,FORD6,T,TOTAL,TOTAL,15354
2011,PL,FORD6,T,TOTAL,TOTAL,15133
2012,PL,FORD6,T,TOTAL,TOTAL,15373
2014,PL,FORD6,T,TOTAL,TOTAL,16090
2000,PT,FORD6,T,TOTAL,TOTAL,2472
2002,PT,FORD6,T,TOTAL,TOTAL,2717
2003,PT,FORD6,T,TOTAL,TOTAL,2896
2005,PT,FORD6,T,TOTAL,TOTAL,3934
2006,PT,FORD6,T,TOTAL,TOTAL,4475
2007,PT,FORD6,T,TOTAL,TOTAL,5017
2008,PT,FORD6,T,TOTAL,TOTAL,8089
2009,PT,FORD6,T,TOTAL,TOTAL,8748
2010,PT,FORD6,T,TOTAL,TOTAL,10248
2011,PT,FORD6,T,TOTAL,TOTAL,8681
2012,PT,FORD6,T,TOTAL,TOTAL,9286
2013,PT,FORD6,T,TOTAL,TOTAL,10015
2014,PT,FORD6,T,TOTAL,TOTAL,9895
2002,RO,FORD6,T,TOTAL,TOTAL,928
2003,RO,FORD6,T,TOTAL,TOTAL,973
2004,RO,FORD6,T,TOTAL,TOTAL,1143
2005,RO,FORD6,T,TOTAL,TOTAL,569
2006,RO,FORD6,T,TOTAL,TOTAL,1213
2007,RO,FORD6,T,TOTAL,TOTAL,1541
2008,RO,FORD6,T,TOTAL,TOTAL,2661
2009,RO,FORD6,T,TOTAL,TOTAL,3203
2010,RO,FORD6,T,TOTAL,TOTAL,2872
2011,RO,FORD6,T,TOTAL,TOTAL,2032
2012,RO,FORD6,T,TOTAL,TOTAL,2339
2013,RO,FORD6,T,TOTAL,TOTAL,2891
2014,RO,FORD6,T,TOTAL,TOTAL,1747
2002,SI,FORD6,T,TOTAL,TOTAL,494
2003,SI,FORD6,T,TOTAL,TOTAL,388
2004,SI,FORD6,T,TOTAL,TOTAL,467
2005,SI,FORD6,T,TOTAL,TOTAL,835
2006,SI,FORD6,T,TOTAL,TOTAL,847
2007,SI,FORD6,T,TOTAL,TOTAL,667
2008,SI,FORD6,T,TOTAL,TOTAL,715
2009,SI,FORD6,T,TOTAL,TOTAL,941
2010,SI,FORD6,T,TOTAL,TOTAL,994
2011,SI,FORD6,T,TOTAL,TOTAL,1043
2012,SI,FORD6,T,TOTAL,TOTAL,980
2013,SI,FORD6,T,TOTAL,TOTAL,825
2000,SK,FORD6,T,TOTAL,TOTAL,687
2001,SK,FORD6,T,TOTAL,TOTAL,662
2002,SK,FORD6,T,TOTAL,TOTAL,783
2003,SK,FORD6,T,TOTAL,TOTAL,1155
2004,SK,FORD6,T,TOTAL,TOTAL,1323
2005,SK,FORD6,T,TOTAL,TOTAL,1721
2006,SK,FORD6,T,TOTAL,TOTAL,1345
2007,SK,FORD6,T,TOTAL,TOTAL,1118
2008,SK,FORD6,T,TOTAL,TOTAL,1322
2009,SK,FORD6,T,TOTAL,TOTAL,2604
2010,SK,FORD6,T,TOTAL,TOTAL,2995
2011,SK,FORD6,T,TOTAL,TOTAL,3261
2012,SK,FORD6,T,TOTAL,TOTAL,3443
2013,SK,FORD6,T,TOTAL,TOTAL,3557
2014,SK,FORD6,T,TOTAL,TOTAL,4041
2012,BA,FORD6,T,TOTAL,TOTAL,135
2013,BA,FORD6,T,TOTAL,TOTAL,147
2011,ME,FORD6,T,TOTAL,TOTAL,425
2013,ME,FORD6,T,TOTAL,TOTAL,450
2014,ME,FORD6,T,TOTAL,TOTAL,300
2005,MK,FORD6,T,TOTAL,TOTAL,834
2006,MK,FORD6,T,TOTAL,TOTAL,828
2007,MK,FORD6,T,TOTAL,TOTAL,544
2008,MK,FORD6,T,TOTAL,TOTAL,550
2009,MK,FORD6,T,TOTAL,TOTAL,378
2015,MK,FORD6,T,TOTAL,TOTAL,617
2008,RS,FORD6,T,TOTAL,TOTAL,1232
2009,RS,FORD6,T,TOTAL,TOTAL,1270
2010,RS,FORD6,T,TOTAL,TOTAL,1940
2011,RS,FORD6,T,TOTAL,TOTAL,2159
2012,RS,FORD6,T,TOTAL,TOTAL,2160
2013,RS,FORD6,T,TOTAL,TOTAL,2212
2014,RS,FORD6,T,TOTAL,TOTAL,1579
2005,TR,FORD6,T,TOTAL,TOTAL,8600
2006,TR,FORD6,T,TOTAL,TOTAL,9220
2007,TR,FORD6,T,TOTAL,TOTAL,9693
2008,TR,FORD6,T,TOTAL,TOTAL,9760
2009,TR,FORD6,T,TOTAL,TOTAL,10011
2010,TR,FORD6,T,TOTAL,TOTAL,11110
2011,TR,FORD6,T,TOTAL,TOTAL,12364
2012,TR,FORD6,T,TOTAL,TOTAL,15889
2013,TR,FORD6,T,TOTAL,TOTAL,15135
2014,TR,FORD6,T,TOTAL,TOTAL,16793
2002,BE,TOTAL,F,TOTAL,TOTAL,23260
2003,BE,TOTAL,F,TOTAL,TOTAL,23719
2004,BE,TOTAL,F,TOTAL,TOTAL,24924
2005,BE,TOTAL,F,TOTAL,TOTAL,26108
2006,BE,TOTAL,F,TOTAL,TOTAL,26824
2007,BE,TOTAL,F,TOTAL,TOTAL,27885
2008,BE,TOTAL,F,TOTAL,TOTAL,30739
2009,BE,TOTAL,F,TOTAL,TOTAL,31698
2010,BE,TOTAL,F,TOTAL,TOTAL,32344
2011,BE,TOTAL,F,TOTAL,TOTAL,34251
2013,BE,TOTAL,F,TOTAL,TOTAL,35678
2015,BE,TOTAL,F,TOTAL,TOTAL,41298
2017,BE,TOTAL,F,TOTAL,TOTAL,46417
2019,BE,TOTAL,F,TOTAL,TOTAL,51568
2021,BE,TOTAL,F,TOTAL,TOTAL,63646
2000,BG,TOTAL,F,TOTAL,TOTAL,8906
2001,BG,TOTAL,F,TOTAL,TOTAL,8698
2002,BG,TOTAL,F,TOTAL,TOTAL,8966
2003,BG,TOTAL,F,TOTAL,TOTAL,9155
2004,BG,TOTAL,F,TOTAL,TOTAL,9337
2005,BG,TOTAL,F,TOTAL,TOTAL,9569
2006,BG,TOTAL,F,TOTAL,TOTAL,9539
2007,BG,TOTAL,F,TOTAL,TOTAL,10128
2008,BG,TOTAL,F,TOTAL,TOTAL,10104
2009,BG,TOTAL,F,TOTAL,TOTAL,11248
2010,BG,TOTAL,F,TOTAL,TOTAL,10776
2011,BG,TOTAL,F,TOTAL,TOTAL,10834
2012,BG,TOTAL,F,TOTAL,TOTAL,11211
2013,BG,TOTAL,F,TOTAL,TOTAL,11480
2014,BG,TOTAL,F,TOTAL,TOTAL,12762
2015,BG,TOTAL,F,TOTAL,TOTAL,14167
2016,BG,TOTAL,F,TOTAL,TOTAL,15418
2017,BG,TOTAL,F,TOTAL,TOTAL,15031
2018,BG,TOTAL,F,TOTAL,TOTAL,16123
2019,BG,TOTAL,F,TOTAL,TOTAL,16424
2020,BG,TOTAL,F,TOTAL,TOTAL,16557
2021,BG,TOTAL,F,TOTAL,TOTAL,16779
2022,BG,TOTAL,F,TOTAL,TOTAL,17669
2000,CZ,TOTAL,F,TOTAL,TOTAL,19322
2001,CZ,TOTAL,F,TOTAL,TOTAL,19027
2002,CZ,TOTAL,F,TOTAL,TOTAL,19451
2003,CZ,TOTAL,F,TOTAL,TOTAL,19578
2004,CZ,TOTAL,F,TOTAL,TOTAL,20823
2005,CZ,TOTAL,F,TOTAL,TOTAL,22865
2006,CZ,TOTAL,F,TOTAL,TOTAL,23394
2007,CZ,TOTAL,F,TOTAL,TOTAL,24843
2008,CZ,TOTAL,F,TOTAL,TOTAL,24721
2009,CZ,TOTAL,F,TOTAL,TOTAL,25273
2010,CZ,TOTAL,F,TOTAL,TOTAL,25421
2011,CZ,TOTAL,F,TOTAL,TOTAL,26732
2012,CZ,TOTAL,F,TOTAL,TOTAL,27746
2013,CZ,TOTAL,F,TOTAL,TOTAL,29897
2014,CZ,TOTAL,F,TOTAL,TOTAL,30120
2015,CZ,TOTAL,F,TOTAL,TOTAL,31122
2016,CZ,TOTAL,F,TOTAL,TOTAL,30269
2017,CZ,TOTAL,F,TOTAL,TOTAL,32576
2018,CZ,TOTAL,F,TOTAL,TOTAL,34442
2019,CZ,TOTAL,F,TOTAL,TOTAL,35382
2020,CZ,TOTAL,F,TOTAL,TOTAL,36191
2021,CZ,TOTAL,F,TOTAL,TOTAL,37347
2022,CZ,TOTAL,F,TOTAL,TOTAL,38205
2001,DK,TOTAL,F,TOTAL,TOTAL,21410
2002,DK,TOTAL,F,TOTAL,TOTAL,22618
2003,DK,TOTAL,F,TOTAL,TOTAL,22950
2005,DK,TOTAL,F,TOTAL,TOTAL,25522
2007,DK,TOTAL,F,TOTAL,TOTAL,24404
2009,DK,TOTAL,F,TOTAL,TOTAL,30170
2010,DK,TOTAL,F,TOTAL,TOTAL,30724
2011,DK,TOTAL,F,TOTAL,TOTAL,30743
2012,DK,TOTAL,F,TOTAL,TOTAL,32188
2013,DK,TOTAL,F,TOTAL,TOTAL,32551
2015,DK,TOTAL,F,TOTAL,TOTAL,32175
2017,DK,TOTAL,F,TOTAL,TOTAL,33405
2019,DK,TOTAL,F,TOTAL,TOTAL,34270
2003,DE,TOTAL,F,TOTAL,TOTAL,187102
2005,DE,TOTAL,F,TOTAL,TOTAL,196435
2007,DE,TOTAL,F,TOTAL,TOTAL,216021
2009,DE,TOTAL,F,TOTAL,TOTAL,239314
2011,DE,TOTAL,F,TOTAL,TOTAL,262398
2013,DE,TOTAL,F,TOTAL,TOTAL,277972
2015,DE,TOTAL,F,TOTAL,TOTAL,293103
2017,DE,TOTAL,F,TOTAL,TOTAL,308846
2019,DE,TOTAL,F,TOTAL,TOTAL,329092
2021,DE,TOTAL,F,TOTAL,TOTAL,350626
2000,EE,TOTAL,F,TOTAL,TOTAL,3279
2001,EE,TOTAL,F,TOTAL,TOTAL,3383
2002,EE,TOTAL,F,TOTAL,TOTAL,3386
2003,EE,TOTAL,F,TOTAL,TOTAL,3787
2004,EE,TOTAL,F,TOTAL,TOTAL,3834
2005,EE,TOTAL,F,TOTAL,TOTAL,3675
2006,EE,TOTAL,F,TOTAL,TOTAL,4041
2007,EE,TOTAL,F,TOTAL,TOTAL,4335
2008,EE,TOTAL,F,TOTAL,TOTAL,4403
2009,EE,TOTAL,F,TOTAL,TOTAL,4565
2010,EE,TOTAL,F,TOTAL,TOTAL,4691
2011,EE,TOTAL,F,TOTAL,TOTAL,4805
2012,EE,TOTAL,F,TOTAL,TOTAL,4840
2013,EE,TOTAL,F,TOTAL,TOTAL,4895
2014,EE,TOTAL,F,TOTAL,TOTAL,5006
2015,EE,TOTAL,F,TOTAL,TOTAL,4698
2016,EE,TOTAL,F,TOTAL,TOTAL,4358
2017,EE,TOTAL,F,TOTAL,TOTAL,4420
2018,EE,TOTAL,F,TOTAL,TOTAL,4452
2019,EE,TOTAL,F,TOTAL,TOTAL,4666
2020,EE,TOTAL,F,TOTAL,TOTAL,5115
2021,EE,TOTAL,F,TOTAL,TOTAL,5278
2022,EE,TOTAL,F,TOTAL,TOTAL,5536
2002,IE,TOTAL,F,TOTAL,TOTAL,7874
2003,IE,TOTAL,F,TOTAL,TOTAL,8275
2004,IE,TOTAL,F,TOTAL,TOTAL,8794
2005,IE,TOTAL,F,TOTAL,TOTAL,9747
2006,IE,TOTAL,F,TOTAL,TOTAL,10734
2007,IE,TOTAL,F,TOTAL,TOTAL,11273
2008,IE,TOTAL,F,TOTAL,TOTAL,11629
2009,IE,TOTAL,F,TOTAL,TOTAL,12700
2010,IE,TOTAL,F,TOTAL,TOTAL,12602
2011,IE,TOTAL,F,TOTAL,TOTAL,12803
2012,IE,TOTAL,F,TOTAL,TOTAL,10882
2013,IE,TOTAL,F,TOTAL,TOTAL,16539
2015,IE,TOTAL,F,TOTAL,TOTAL,16012
2017,IE,TOTAL,F,TOTAL,TOTAL,18167
2019,IE,TOTAL,F,TOTAL,TOTAL,18256
2021,IE,TOTAL,F,TOTAL,TOTAL,19823
2001,EL,TOTAL,F,TOTAL,TOTAL,21662
2003,EL,TOTAL,F,TOTAL,TOTAL,23016
2005,EL,TOTAL,F,TOTAL,TOTAL,25136
2011,EL,TOTAL,F,TOTAL,TOTAL,29879
2013,EL,TOTAL,F,TOTAL,TOTAL,37809
2015,EL,TOTAL,F,TOTAL,TOTAL,41606
2017,EL,TOTAL,F,TOTAL,TOTAL,39665
2019,EL,TOTAL,F,TOTAL,TOTAL,45001
2020,EL,TOTAL,F,TOTAL,TOTAL,47538
2021,EL,TOTAL,F,TOTAL,TOTAL,49546
2022,EL,TOTAL,F,TOTAL,TOTAL,55034
2001,ES,TOTAL,F,TOTAL,TOTAL,74892
2002,ES,TOTAL,F,TOTAL,TOTAL,85098
2003,ES,TOTAL,F,TOTAL,TOTAL,93215
2004,ES,TOTAL,F,TOTAL,TOTAL,99825
2005,ES,TOTAL,F,TOTAL,TOTAL,106695
2006,ES,TOTAL,F,TOTAL,TOTAL,117650
2007,ES,TOTAL,F,TOTAL,TOTAL,127827
2008,ES,TOTAL,F,TOTAL,TOTAL,137125
2009,ES,TOTAL,F,TOTAL,TOTAL,142935
2010,ES,TOTAL,F,TOTAL,TOTAL,143333
2011,ES,TOTAL,F,TOTAL,TOTAL,141419
2012,ES,TOTAL,F,TOTAL,TOTAL,137059
2013,ES,TOTAL,F,TOTAL,TOTAL,133796
2014,ES,TOTAL,F,TOTAL,TOTAL,133804
2015,ES,TOTAL,F,TOTAL,TOTAL,137822
2016,ES,TOTAL,F,TOTAL,TOTAL,138825
2017,ES,TOTAL,F,TOTAL,TOTAL,144723
2018,ES,TOTAL,F,TOTAL,TOTAL,150890
2019,ES,TOTAL,F,TOTAL,TOTAL,156357
2020,ES,TOTAL,F,TOTAL,TOTAL,157443
2021,ES,TOTAL,F,TOTAL,TOTAL,165801
2022,ES,TOTAL,F,TOTAL,TOTAL,174954
2000,FR,TOTAL,F,TOTAL,TOTAL,123059
2001,FR,TOTAL,F,TOTAL,TOTAL,124321
2002,FR,TOTAL,F,TOTAL,TOTAL,131771
2003,FR,TOTAL,F,TOTAL,TOTAL,133120
2004,FR,TOTAL,F,TOTAL,TOTAL,137302
2005,FR,TOTAL,F,TOTAL,TOTAL,137381
2006,FR,TOTAL,F,TOTAL,TOTAL,143500
2007,FR,TOTAL,F,TOTAL,TOTAL,146442
2008,FR,TOTAL,F,TOTAL,TOTAL,149434
2009,FR,TOTAL,F,TOTAL,TOTAL,149318
2010,FR,TOTAL,F,TOTAL,TOTAL,151538
2011,FR,TOTAL,F,TOTAL,TOTAL,156065
2012,FR,TOTAL,F,TOTAL,TOTAL,161090
2013,FR,TOTAL,F,TOTAL,TOTAL,164488
2014,FR,TOTAL,F,TOTAL,TOTAL,175102
2016,FR,TOTAL,F,TOTAL,TOTAL,193546
2017,FR,TOTAL,F,TOTAL,TOTAL,199771
