TIME,GEO,UNIT,INDIC_IL,SEX,AGE,VALUE
2001,Portugal,Purchasing power standard (PPS),Median equivalised net income,Males,Total,8401
2004,Portugal,Purchasing power standard (PPS),Median equivalised net income,Males,Total,8219
2005,Portugal,Purchasing power standard (PPS),Median equivalised net income,Males,Total,8426
2006,Portugal,Purchasing power standard (PPS),Median equivalised net income,Males,Total,8747
2007,Portugal,Purchasing power standard (PPS),Median equivalised net income,Males,Total,9086
2008,Portugal,Purchasing power standard (PPS),Median equivalised net income,Males,Total,9658
2009,Portugal,Purchasing power standard (PPS),Median equivalised net income,Males,Total,9569
2010,Portugal,Purchasing power standard (PPS),Median equivalised net income,Males,Total,9865
2011,Portugal,Purchasing power standard (PPS),Median equivalised net income,Males,Total,9766
2012,Portugal,Purchasing power standard (PPS),Median equivalised net income,Males,Total,9904
2013,Portugal,Purchasing power standard (PPS),Median equivalised net income,Males,Total,9942
2014,Portugal,Purchasing power standard (PPS),Median equivalised net income,Males,Total,10326
2015,Portugal,Purchasing power standard (PPS),Median equivalised net income,Males,Total,10511
2016,Portugal,Purchasing power standard (PPS),Median equivalised net income,Males,Total,10967
2017,Portugal,Purchasing power standard (PPS),Median equivalised net income,Males,Total,11017
2018,Portugal,Purchasing power standard (PPS),Median equivalised net income,Males,Total,10985
2019,Portugal,Purchasing power standard (PPS),Median equivalised net income,Males,Total,11768
2020,Portugal,Purchasing power standard (PPS),Median equivalised net income,Males,Total,12453
2021,Portugal,Purchasing power standard (PPS),Median equivalised net income,Males,Total,12554
2007,Romania,Purchasing power standard (PPS),Median equivalised net income,Males,Total,2829
2008,Romania,Purchasing power standard (PPS),Median equivalised net income,Males,Total,3125
2009,Romania,Purchasing power standard (PPS),Median equivalised net income,Males,Total,3495
2010,Romania,Purchasing power standard (PPS),Median equivalised net income,Males,Total,3590
2011,Romania,Purchasing power standard (PPS),Median equivalised net income,Males,Total,3716
2012,Romania,Purchasing power standard (PPS),Median equivalised net income,Males,Total,3774
2013,Romania,Purchasing power standard (PPS),Median equivalised net income,Males,Total,3992
2014,Romania,Purchasing power standard (PPS),Median equivalised net income,Males,Total,4107
2015,Romania,Purchasing power standard (PPS),Median equivalised net income,Males,Total,4472
2016,Romania,Purchasing power standard (PPS),Median equivalised net income,Males,Total,4790
2017,Romania,Purchasing power standard (PPS),Median equivalised net income,Males,Total,5483
2018,Romania,Purchasing power standard (PPS),Median equivalised net income,Males,Total,6471
2019,Romania,Purchasing power standard (PPS),Median equivalised net income,Males,Total,7581
2020,Romania,Purchasing power standard (PPS),Median equivalised net income,Males,Total,7978
2021,Romania,Purchasing power standard (PPS),Median equivalised net income,Males,Total,8850
2005,Slovenia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,11799
2006,Slovenia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,12349
2007,Slovenia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,13204
2008,Slovenia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,14088
2009,Slovenia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,14589
2010,Slovenia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,13539
2011,Slovenia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,14185
2012,Slovenia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,14464
2013,Slovenia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,14434
2014,Slovenia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,14527
2015,Slovenia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,15330
2016,Slovenia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,15520
2017,Slovenia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,15533
2018,Slovenia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,15972
2019,Slovenia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,16950
2020,Slovenia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,17351
2021,Slovenia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,17814
2005,Slovakia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,4107
2006,Slovakia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,4711
2007,Slovakia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,5781
2008,Slovakia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,6946
2009,Slovakia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,8062
2010,Slovakia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,8509
2011,Slovakia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,9112
2012,Slovakia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,10026
2013,Slovakia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,9726
2014,Slovakia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,9976
2015,Slovakia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,10388
2016,Slovakia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,10661
2017,Slovakia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,9752
2018,Slovakia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,10112
2019,Slovakia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,10748
2020,Slovakia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,10226
2000,Finland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,12118
2001,Finland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,13208
2004,Finland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,13495
2005,Finland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,14388
2006,Finland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,15144
2007,Finland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,15629
2008,Finland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,17157
2009,Finland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,17805
2010,Finland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,17577
2011,Finland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,18356
2012,Finland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,18925
2013,Finland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,19588
2014,Finland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,19725
2015,Finland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,19723
2016,Finland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,20480
2017,Finland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,20118
2018,Finland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,20476
2019,Finland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,20831
2020,Finland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,20751
2021,Finland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,20577
2004,Sweden,Purchasing power standard (PPS),Median equivalised net income,Males,Total,14348
2005,Sweden,Purchasing power standard (PPS),Median equivalised net income,Males,Total,14778
2006,Sweden,Purchasing power standard (PPS),Median equivalised net income,Males,Total,15357
2007,Sweden,Purchasing power standard (PPS),Median equivalised net income,Males,Total,16285
2008,Sweden,Purchasing power standard (PPS),Median equivalised net income,Males,Total,17842
2009,Sweden,Purchasing power standard (PPS),Median equivalised net income,Males,Total,18614
2010,Sweden,Purchasing power standard (PPS),Median equivalised net income,Males,Total,18056
2011,Sweden,Purchasing power standard (PPS),Median equivalised net income,Males,Total,18531
2012,Sweden,Purchasing power standard (PPS),Median equivalised net income,Males,Total,19388
2013,Sweden,Purchasing power standard (PPS),Median equivalised net income,Males,Total,20484
2014,Sweden,Purchasing power standard (PPS),Median equivalised net income,Males,Total,20072
2015,Sweden,Purchasing power standard (PPS),Median equivalised net income,Males,Total,20502
2016,Sweden,Purchasing power standard (PPS),Median equivalised net income,Males,Total,21392
2017,Sweden,Purchasing power standard (PPS),Median equivalised net income,Males,Total,20663
2018,Sweden,Purchasing power standard (PPS),Median equivalised net income,Males,Total,20849
2019,Sweden,Purchasing power standard (PPS),Median equivalised net income,Males,Total,20869
2020,Sweden,Purchasing power standard (PPS),Median equivalised net income,Males,Total,20608
2021,Sweden,Purchasing power standard (PPS),Median equivalised net income,Males,Total,21192
2004,Iceland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,16397
2005,Iceland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,17401
2006,Iceland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,18789
2007,Iceland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,20111
2008,Iceland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,21860
2009,Iceland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,21868
2010,Iceland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,18488
2011,Iceland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,18303
2012,Iceland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,18489
2013,Iceland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,19816
2014,Iceland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,20395
2015,Iceland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,21004
2016,Iceland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,22301
2017,Iceland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,22449
2018,Iceland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,23862
2003,Norway,Purchasing power standard (PPS),Median equivalised net income,Males,Total,18674
2004,Norway,Purchasing power standard (PPS),Median equivalised net income,Males,Total,18983
2005,Norway,Purchasing power standard (PPS),Median equivalised net income,Males,Total,19419
2006,Norway,Purchasing power standard (PPS),Median equivalised net income,Males,Total,20538
2007,Norway,Purchasing power standard (PPS),Median equivalised net income,Males,Total,21197
2008,Norway,Purchasing power standard (PPS),Median equivalised net income,Males,Total,23704
2009,Norway,Purchasing power standard (PPS),Median equivalised net income,Males,Total,24614
2010,Norway,Purchasing power standard (PPS),Median equivalised net income,Males,Total,23736
2011,Norway,Purchasing power standard (PPS),Median equivalised net income,Males,Total,24472
2012,Norway,Purchasing power standard (PPS),Median equivalised net income,Males,Total,25800
2013,Norway,Purchasing power standard (PPS),Median equivalised net income,Males,Total,27224
2014,Norway,Purchasing power standard (PPS),Median equivalised net income,Males,Total,28516
2015,Norway,Purchasing power standard (PPS),Median equivalised net income,Males,Total,29116
2016,Norway,Purchasing power standard (PPS),Median equivalised net income,Males,Total,28311
2017,Norway,Purchasing power standard (PPS),Median equivalised net income,Males,Total,26846
2018,Norway,Purchasing power standard (PPS),Median equivalised net income,Males,Total,26701
2019,Norway,Purchasing power standard (PPS),Median equivalised net income,Males,Total,27213
2020,Norway,Purchasing power standard (PPS),Median equivalised net income,Males,Total,28385
2007,Switzerland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,21084
2008,Switzerland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,22146
2009,Switzerland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,23191
2010,Switzerland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,22840
2011,Switzerland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,23703
2012,Switzerland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,24771
2013,Switzerland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,26380
2014,Switzerland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,26402
2015,Switzerland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,27277
2016,Switzerland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,28485
2017,Switzerland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,27738
2018,Switzerland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,27477
2019,Switzerland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,28230
2020,Switzerland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,26826
2021,Switzerland,Purchasing power standard (PPS),Median equivalised net income,Males,Total,27177
2000,United Kingdom,Purchasing power standard (PPS),Median equivalised net income,Males,Total,14333
2001,United Kingdom,Purchasing power standard (PPS),Median equivalised net income,Males,Total,15677
2005,United Kingdom,Purchasing power standard (PPS),Median equivalised net income,Males,Total,17413
2006,United Kingdom,Purchasing power standard (PPS),Median equivalised net income,Males,Total,18189
2007,United Kingdom,Purchasing power standard (PPS),Median equivalised net income,Males,Total,19361
2008,United Kingdom,Purchasing power standard (PPS),Median equivalised net income,Males,Total,19224
2009,United Kingdom,Purchasing power standard (PPS),Median equivalised net income,Males,Total,17315
2010,United Kingdom,Purchasing power standard (PPS),Median equivalised net income,Males,Total,16433
2011,United Kingdom,Purchasing power standard (PPS),Median equivalised net income,Males,Total,16168
2012,United Kingdom,Purchasing power standard (PPS),Median equivalised net income,Males,Total,16763
2013,United Kingdom,Purchasing power standard (PPS),Median equivalised net income,Males,Total,17148
2014,United Kingdom,Purchasing power standard (PPS),Median equivalised net income,Males,Total,17357
2015,United Kingdom,Purchasing power standard (PPS),Median equivalised net income,Males,Total,18169
2016,United Kingdom,Purchasing power standard (PPS),Median equivalised net income,Males,Total,17633
2017,United Kingdom,Purchasing power standard (PPS),Median equivalised net income,Males,Total,18405
2018,United Kingdom,Purchasing power standard (PPS),Median equivalised net income,Males,Total,18943
2013,Montenegro,Purchasing power standard (PPS),Median equivalised net income,Males,Total,5418
2014,Montenegro,Purchasing power standard (PPS),Median equivalised net income,Males,Total,5409
2015,Montenegro,Purchasing power standard (PPS),Median equivalised net income,Males,Total,5697
2016,Montenegro,Purchasing power standard (PPS),Median equivalised net income,Males,Total,6094
2017,Montenegro,Purchasing power standard (PPS),Median equivalised net income,Males,Total,6622
2018,Montenegro,Purchasing power standard (PPS),Median equivalised net income,Males,Total,6856
2019,Montenegro,Purchasing power standard (PPS),Median equivalised net income,Males,Total,6757
2020,Montenegro,Purchasing power standard (PPS),Median equivalised net income,Males,Total,6880
2012,North Macedonia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,3892
2013,North Macedonia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,4026
2014,North Macedonia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,4104
2015,North Macedonia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,4604
2016,North Macedonia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,4987
2017,North Macedonia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,5322
2018,North Macedonia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,5500
2019,North Macedonia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,5670
2020,North Macedonia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,6027
2017,Albania,Purchasing power standard (PPS),Median equivalised net income,Males,Total,3613
2018,Albania,Purchasing power standard (PPS),Median equivalised net income,Males,Total,4038
2019,Albania,Purchasing power standard (PPS),Median equivalised net income,Males,Total,4304
2020,Albania,Purchasing power standard (PPS),Median equivalised net income,Males,Total,4432
2013,Serbia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,4775
2014,Serbia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,4594
2015,Serbia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,4731
2016,Serbia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,5028
2017,Serbia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,5178
2018,Serbia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,5284
2019,Serbia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,6171
2020,Serbia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,6719
2021,Serbia,Purchasing power standard (PPS),Median equivalised net income,Males,Total,7033
2006,Türkiye,Purchasing power standard (PPS),Median equivalised net income,Males,Total,3557
2007,Türkiye,Purchasing power standard (PPS),Median equivalised net income,Males,Total,4103
2008,Türkiye,Purchasing power standard (PPS),Median equivalised net income,Males,Total,4200
2009,Türkiye,Purchasing power standard (PPS),Median equivalised net income,Males,Total,4526
2010,Türkiye,Purchasing power standard (PPS),Median equivalised net income,Males,Total,4413
2011,Türkiye,Purchasing power standard (PPS),Median equivalised net income,Males,Total,4820
2012,Türkiye,Purchasing power standard (PPS),Median equivalised net income,Males,Total,5250
2013,Türkiye,Purchasing power standard (PPS),Median equivalised net income,Males,Total,5324
2014,Türkiye,Purchasing power standard (PPS),Median equivalised net income,Males,Total,5518
2015,Türkiye,Purchasing power standard (PPS),Median equivalised net income,Males,Total,5693
2016,Türkiye,Purchasing power standard (PPS),Median equivalised net income,Males,Total,6583
2017,Türkiye,Purchasing power standard (PPS),Median equivalised net income,Males,Total,6632
2018,Türkiye,Purchasing power standard (PPS),Median equivalised net income,Males,Total,6578
2019,Türkiye,Purchasing power standard (PPS),Median equivalised net income,Males,Total,6857
2020,Türkiye,Purchasing power standard (PPS),Median equivalised net income,Males,Total,6690
2018,Kosovo (under United Nations Security Council Resolution 1244/99),Purchasing power standard (PPS),Median equivalised net income,Males,Total,4032
2000,Belgium,Euro,Mean equivalised net income,Females,Total,16754
2001,Belgium,Euro,Mean equivalised net income,Females,Total,17350
2003,Belgium,Euro,Mean equivalised net income,Females,Total,16720
2004,Belgium,Euro,Mean equivalised net income,Females,Total,16571
2005,Belgium,Euro,Mean equivalised net income,Females,Total,17814
2006,Belgium,Euro,Mean equivalised net income,Females,Total,18355
2007,Belgium,Euro,Mean equivalised net income,Females,Total,18789
2008,Belgium,Euro,Mean equivalised net income,Females,Total,19473
2009,Belgium,Euro,Mean equivalised net income,Females,Total,20495
2010,Belgium,Euro,Mean equivalised net income,Females,Total,20918
2011,Belgium,Euro,Mean equivalised net income,Females,Total,21259
2012,Belgium,Euro,Mean equivalised net income,Females,Total,21457
2013,Belgium,Euro,Mean equivalised net income,Females,Total,22758
2014,Belgium,Euro,Mean equivalised net income,Females,Total,22947
2015,Belgium,Euro,Mean equivalised net income,Females,Total,22992
2016,Belgium,Euro,Mean equivalised net income,Females,Total,23504
2017,Belgium,Euro,Mean equivalised net income,Females,Total,23754
2018,Belgium,Euro,Mean equivalised net income,Females,Total,24684
2019,Belgium,Euro,Mean equivalised net income,Females,Total,25751
2020,Belgium,Euro,Mean equivalised net income,Females,Total,27038
2021,Belgium,Euro,Mean equivalised net income,Females,Total,27180
2022,Belgium,Euro,Mean equivalised net income,Females,Total,29027
2006,Bulgaria,Euro,Mean equivalised net income,Females,Total,1554
2007,Bulgaria,Euro,Mean equivalised net income,Females,Total,1690
2008,Bulgaria,Euro,Mean equivalised net income,Females,Total,2604
2009,Bulgaria,Euro,Mean equivalised net income,Females,Total,3212
2010,Bulgaria,Euro,Mean equivalised net income,Females,Total,3448
2011,Bulgaria,Euro,Mean equivalised net income,Females,Total,3383
2012,Bulgaria,Euro,Mean equivalised net income,Females,Total,3218
2013,Bulgaria,Euro,Mean equivalised net income,Females,Total,3468
2014,Bulgaria,Euro,Mean equivalised net income,Females,Total,3824
2015,Bulgaria,Euro,Mean equivalised net income,Females,Total,3951
2016,Bulgaria,Euro,Mean equivalised net income,Females,Total,3756
2017,Bulgaria,Euro,Mean equivalised net income,Females,Total,4467
2018,Bulgaria,Euro,Mean equivalised net income,Females,Total,4496
2019,Bulgaria,Euro,Mean equivalised net income,Females,Total,5350
2020,Bulgaria,Euro,Mean equivalised net income,Females,Total,5784
2021,Bulgaria,Euro,Mean equivalised net income,Females,Total,6613
2022,Bulgaria,Euro,Mean equivalised net income,Females,Total,6548
2005,Czechia,Euro,Mean equivalised net income,Females,Total,4729
2006,Czechia,Euro,Mean equivalised net income,Females,Total,5319
2007,Czechia,Euro,Mean equivalised net income,Females,Total,6025
2008,Czechia,Euro,Mean equivalised net income,Females,Total,6652
2009,Czechia,Euro,Mean equivalised net income,Females,Total,8100
2010,Czechia,Euro,Mean equivalised net income,Females,Total,7810
2011,Czechia,Euro,Mean equivalised net income,Females,Total,8249
2012,Czechia,Euro,Mean equivalised net income,Females,Total,8550
2013,Czechia,Euro,Mean equivalised net income,Females,Total,8478
2014,Czechia,Euro,Mean equivalised net income,Females,Total,8375
2015,Czechia,Euro,Mean equivalised net income,Females,Total,8132
2016,Czechia,Euro,Mean equivalised net income,Females,Total,8565
2017,Czechia,Euro,Mean equivalised net income,Females,Total,9017
2018,Czechia,Euro,Mean equivalised net income,Females,Total,9796
2019,Czechia,Euro,Mean equivalised net income,Females,Total,10730
2020,Czechia,Euro,Mean equivalised net income,Females,Total,11510
2021,Czechia,Euro,Mean equivalised net income,Females,Total,11727
2003,Denmark,Euro,Mean equivalised net income,Females,Total,22119
2004,Denmark,Euro,Mean equivalised net income,Females,Total,22369
2005,Denmark,Euro,Mean equivalised net income,Females,Total,22873
2006,Denmark,Euro,Mean equivalised net income,Females,Total,23666
2007,Denmark,Euro,Mean equivalised net income,Females,Total,24728
2008,Denmark,Euro,Mean equivalised net income,Females,Total,25536
2009,Denmark,Euro,Mean equivalised net income,Females,Total,25787
2010,Denmark,Euro,Mean equivalised net income,Females,Total,26556
2011,Denmark,Euro,Mean equivalised net income,Females,Total,29046
2012,Denmark,Euro,Mean equivalised net income,Females,Total,29319
2013,Denmark,Euro,Mean equivalised net income,Females,Total,29493
2014,Denmark,Euro,Mean equivalised net income,Females,Total,30908
2015,Denmark,Euro,Mean equivalised net income,Females,Total,31197
2016,Denmark,Euro,Mean equivalised net income,Females,Total,31577
2017,Denmark,Euro,Mean equivalised net income,Females,Total,32833
2018,Denmark,Euro,Mean equivalised net income,Females,Total,33131
2019,Denmark,Euro,Mean equivalised net income,Females,Total,34045
2020,Denmark,Euro,Mean equivalised net income,Females,Total,33803
2021,Denmark,Euro,Mean equivalised net income,Females,Total,35049
2000,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Females,Total,16739
2001,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Females,Total,17081
2005,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Females,Total,17767
2006,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Females,Total,16906
2007,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Females,Total,19720
2008,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Females,Total,20595
2009,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Females,Total,20814
2010,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Females,Total,21018
2011,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Females,Total,21037
2012,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Females,Total,21401
2013,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Females,Total,21840
2014,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Females,Total,21964
2015,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Females,Total,22973
2016,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Females,Total,23411
2017,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Females,Total,24246
2018,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Females,Total,25474
2019,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Females,Total,25410
2020,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Females,Total,29398
2021,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Females,Total,28589
2004,Estonia,Euro,Mean equivalised net income,Females,Total,3137
2005,Estonia,Euro,Mean equivalised net income,Females,Total,3538
2006,Estonia,Euro,Mean equivalised net income,Females,Total,4198
2007,Estonia,Euro,Mean equivalised net income,Females,Total,5117
2008,Estonia,Euro,Mean equivalised net income,Females,Total,6077
2009,Estonia,Euro,Mean equivalised net income,Females,Total,7009
2010,Estonia,Euro,Mean equivalised net income,Females,Total,6609
2011,Estonia,Euro,Mean equivalised net income,Females,Total,6422
2012,Estonia,Euro,Mean equivalised net income,Females,Total,6913
2013,Estonia,Euro,Mean equivalised net income,Females,Total,7639
2014,Estonia,Euro,Mean equivalised net income,Females,Total,8633
2015,Estonia,Euro,Mean equivalised net income,Females,Total,9304
2016,Estonia,Euro,Mean equivalised net income,Females,Total,9841
2017,Estonia,Euro,Mean equivalised net income,Females,Total,10489
2018,Estonia,Euro,Mean equivalised net income,Females,Total,11528
2019,Estonia,Euro,Mean equivalised net income,Females,Total,12537
2020,Estonia,Euro,Mean equivalised net income,Females,Total,13457
2021,Estonia,Euro,Mean equivalised net income,Females,Total,13844
2000,Ireland,Euro,Mean equivalised net income,Females,Total,13525
2001,Ireland,Euro,Mean equivalised net income,Females,Total,15230
2003,Ireland,Euro,Mean equivalised net income,Females,Total,19186
2004,Ireland,Euro,Mean equivalised net income,Females,Total,20146
2005,Ireland,Euro,Mean equivalised net income,Females,Total,21237
2006,Ireland,Euro,Mean equivalised net income,Females,Total,22692
2007,Ireland,Euro,Mean equivalised net income,Females,Total,25471
2008,Ireland,Euro,Mean equivalised net income,Females,Total,26490
2009,Ireland,Euro,Mean equivalised net income,Females,Total,25259
2010,Ireland,Euro,Mean equivalised net income,Females,Total,23700
2011,Ireland,Euro,Mean equivalised net income,Females,Total,22577
2012,Ireland,Euro,Mean equivalised net income,Females,Total,22640
2013,Ireland,Euro,Mean equivalised net income,Females,Total,23092
2014,Ireland,Euro,Mean equivalised net income,Females,Total,23321
2015,Ireland,Euro,Mean equivalised net income,Females,Total,24341
2016,Ireland,Euro,Mean equivalised net income,Females,Total,25397
2017,Ireland,Euro,Mean equivalised net income,Females,Total,26473
2018,Ireland,Euro,Mean equivalised net income,Females,Total,28308
2019,Ireland,Euro,Mean equivalised net income,Females,Total,29645
2020,Ireland,Euro,Mean equivalised net income,Females,Total,30390
2021,Ireland,Euro,Mean equivalised net income,Females,Total,31320
2000,Greece,Euro,Mean equivalised net income,Females,Total,7981
2001,Greece,Euro,Mean equivalised net income,Females,Total,8118
2003,Greece,Euro,Mean equivalised net income,Females,Total,9502
2004,Greece,Euro,Mean equivalised net income,Females,Total,10033
2005,Greece,Euro,Mean equivalised net income,Females,Total,10963
2006,Greece,Euro,Mean equivalised net income,Females,Total,11515
2007,Greece,Euro,Mean equivalised net income,Females,Total,11976
2008,Greece,Euro,Mean equivalised net income,Females,Total,12601
2009,Greece,Euro,Mean equivalised net income,Females,Total,13316
2010,Greece,Euro,Mean equivalised net income,Females,Total,13798
2011,Greece,Euro,Mean equivalised net income,Females,Total,12410
2012,Greece,Euro,Mean equivalised net income,Females,Total,10496
2013,Greece,Euro,Mean equivalised net income,Females,Total,9103
2014,Greece,Euro,Mean equivalised net income,Females,Total,8808
2015,Greece,Euro,Mean equivalised net income,Females,Total,8596
2016,Greece,Euro,Mean equivalised net income,Females,Total,8574
2017,Greece,Euro,Mean equivalised net income,Females,Total,8713
2018,Greece,Euro,Mean equivalised net income,Females,Total,8931
2019,Greece,Euro,Mean equivalised net income,Females,Total,9294
2020,Greece,Euro,Mean equivalised net income,Females,Total,9944
2021,Greece,Euro,Mean equivalised net income,Females,Total,9845
2000,Spain,Euro,Mean equivalised net income,Females,Total,9539
2001,Spain,Euro,Mean equivalised net income,Females,Total,10374
2004,Spain,Euro,Mean equivalised net income,Females,Total,11462
2005,Spain,Euro,Mean equivalised net income,Females,Total,11762
2006,Spain,Euro,Mean equivalised net income,Females,Total,12394
2007,Spain,Euro,Mean equivalised net income,Females,Total,13004
2008,Spain,Euro,Mean equivalised net income,Females,Total,15915
2009,Spain,Euro,Mean equivalised net income,Females,Total,16684
2010,Spain,Euro,Mean equivalised net income,Females,Total,16721
2011,Spain,Euro,Mean equivalised net income,Females,Total,16070
2012,Spain,Euro,Mean equivalised net income,Females,Total,15964
2013,Spain,Euro,Mean equivalised net income,Females,Total,15551
2014,Spain,Euro,Mean equivalised net income,Females,Total,15278
2015,Spain,Euro,Mean equivalised net income,Females,Total,15328
2016,Spain,Euro,Mean equivalised net income,Females,Total,15719
