GEO,UNIT,SEX,NACE_R2,ISCED11,VALUE
Romania,Euro,Females,Arts entertainment and recreation,All ISCED 2011 levels,764
Slovenia,Euro,Females,Arts entertainment and recreation,All ISCED 2011 levels,1775
Slovakia,Euro,Females,Arts entertainment and recreation,All ISCED 2011 levels,900
Finland,Euro,Females,Arts entertainment and recreation,All ISCED 2011 levels,2775
Sweden,Euro,Females,Arts entertainment and recreation,All ISCED 2011 levels,2934
Norway,Euro,Females,Arts entertainment and recreation,All ISCED 2011 levels,3693
Switzerland,Euro,Females,Arts entertainment and recreation,All ISCED 2011 levels,5848
United Kingdom,Euro,Females,Arts entertainment and recreation,All ISCED 2011 levels,2441
North Macedonia,Euro,Females,Arts entertainment and recreation,All ISCED 2011 levels,504
Albania,Euro,Females,Arts entertainment and recreation,All ISCED 2011 levels,419
Serbia,Euro,Females,Arts entertainment and recreation,All ISCED 2011 levels,515
Türkiye,Euro,Females,Arts entertainment and recreation,All ISCED 2011 levels,799
Belgium,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,2438
Bulgaria,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,862
Czechia,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,1357
Denmark,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,2473
Germany,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,2305
Estonia,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,1272
Ireland,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,1980
Greece,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,1603
Spain,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,1878
France,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,2380
Croatia,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,1483
Italy,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,2024
Cyprus,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,1626
Latvia,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,1114
Lithuania,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,1095
Luxembourg,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,3957
Hungary,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,1194
Malta,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,2878
Netherlands,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,2179
Austria,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,2211
Poland,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,1483
Portugal,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,1310
Romania,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,1413
Slovenia,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,2036
Slovakia,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,1130
Finland,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,2203
Sweden,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,2374
Norway,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,2446
Switzerland,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,3749
United Kingdom,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,2033
North Macedonia,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,1010
Albania,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,775
Serbia,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,926
Türkiye,Purchasing power standard (PPS),Females,Arts entertainment and recreation,All ISCED 2011 levels,1740
Belgium,Euro,Total,Other service activities,All ISCED 2011 levels,3043
Bulgaria,Euro,Total,Other service activities,All ISCED 2011 levels,461
Czechia,Euro,Total,Other service activities,All ISCED 2011 levels,977
Denmark,Euro,Total,Other service activities,All ISCED 2011 levels,5042
Germany,Euro,Total,Other service activities,All ISCED 2011 levels,3118
Estonia,Euro,Total,Other service activities,All ISCED 2011 levels,1144
Ireland,Euro,Total,Other service activities,All ISCED 2011 levels,3029
Greece,Euro,Total,Other service activities,All ISCED 2011 levels,1230
Spain,Euro,Total,Other service activities,All ISCED 2011 levels,1681
France,Euro,Total,Other service activities,All ISCED 2011 levels,2430
Croatia,Euro,Total,Other service activities,All ISCED 2011 levels,1198
Italy,Euro,Total,Other service activities,All ISCED 2011 levels,1882
Cyprus,Euro,Total,Other service activities,All ISCED 2011 levels,1437
Latvia,Euro,Total,Other service activities,All ISCED 2011 levels,1058
Lithuania,Euro,Total,Other service activities,All ISCED 2011 levels,814
Luxembourg,Euro,Total,Other service activities,All ISCED 2011 levels,4277
Hungary,Euro,Total,Other service activities,All ISCED 2011 levels,692
Malta,Euro,Total,Other service activities,All ISCED 2011 levels,1874
Netherlands,Euro,Total,Other service activities,All ISCED 2011 levels,3258
Austria,Euro,Total,Other service activities,All ISCED 2011 levels,2749
Poland,Euro,Total,Other service activities,All ISCED 2011 levels,875
Portugal,Euro,Total,Other service activities,All ISCED 2011 levels,1212
Romania,Euro,Total,Other service activities,All ISCED 2011 levels,745
Slovenia,Euro,Total,Other service activities,All ISCED 2011 levels,1532
Slovakia,Euro,Total,Other service activities,All ISCED 2011 levels,829
Finland,Euro,Total,Other service activities,All ISCED 2011 levels,3040
Sweden,Euro,Total,Other service activities,All ISCED 2011 levels,3379
Norway,Euro,Total,Other service activities,All ISCED 2011 levels,4479
Switzerland,Euro,Total,Other service activities,All ISCED 2011 levels,6695
United Kingdom,Euro,Total,Other service activities,All ISCED 2011 levels,2983
North Macedonia,Euro,Total,Other service activities,All ISCED 2011 levels,779
Albania,Euro,Total,Other service activities,All ISCED 2011 levels,449
Serbia,Euro,Total,Other service activities,All ISCED 2011 levels,653
Türkiye,Euro,Total,Other service activities,All ISCED 2011 levels,835
Belgium,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,2651
Bulgaria,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,886
Czechia,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,1331
Denmark,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,3562
Germany,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,2919
Estonia,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,1379
Ireland,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,2283
Greece,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,1422
Spain,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,1756
France,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,2139
Croatia,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,1708
Italy,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,1819
Cyprus,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,1598
Latvia,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,1382
Lithuania,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,1198
Luxembourg,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,3303
Hungary,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,1074
Malta,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,2200
Netherlands,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,2821
Austria,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,2455
Poland,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,1470
Portugal,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,1360
Romania,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,1378
Slovenia,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,1758
Slovakia,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,1041
Finland,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,2414
Sweden,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,2733
Norway,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,2966
Switzerland,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,4292
United Kingdom,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,2484
North Macedonia,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,1562
Albania,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,831
Serbia,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,1173
Türkiye,Purchasing power standard (PPS),Total,Other service activities,All ISCED 2011 levels,1819
Belgium,Euro,Males,Other service activities,All ISCED 2011 levels,3128
Bulgaria,Euro,Males,Other service activities,All ISCED 2011 levels,445
Czechia,Euro,Males,Other service activities,All ISCED 2011 levels,1096
Denmark,Euro,Males,Other service activities,All ISCED 2011 levels,5464
Germany,Euro,Males,Other service activities,All ISCED 2011 levels,3508
Estonia,Euro,Males,Other service activities,All ISCED 2011 levels,1261
Ireland,Euro,Males,Other service activities,All ISCED 2011 levels,3648
Greece,Euro,Males,Other service activities,All ISCED 2011 levels,1326
Spain,Euro,Males,Other service activities,All ISCED 2011 levels,1829
France,Euro,Males,Other service activities,All ISCED 2011 levels,2593
Croatia,Euro,Males,Other service activities,All ISCED 2011 levels,1465
Italy,Euro,Males,Other service activities,All ISCED 2011 levels,2019
Latvia,Euro,Males,Other service activities,All ISCED 2011 levels,1150
Lithuania,Euro,Males,Other service activities,All ISCED 2011 levels,863
Luxembourg,Euro,Males,Other service activities,All ISCED 2011 levels,5173
Hungary,Euro,Males,Other service activities,All ISCED 2011 levels,783
Malta,Euro,Males,Other service activities,All ISCED 2011 levels,2157
Netherlands,Euro,Males,Other service activities,All ISCED 2011 levels,3574
Austria,Euro,Males,Other service activities,All ISCED 2011 levels,3308
Poland,Euro,Males,Other service activities,All ISCED 2011 levels,1058
Portugal,Euro,Males,Other service activities,All ISCED 2011 levels,1539
Romania,Euro,Males,Other service activities,All ISCED 2011 levels,847
Slovenia,Euro,Males,Other service activities,All ISCED 2011 levels,1620
Slovakia,Euro,Males,Other service activities,All ISCED 2011 levels,794
Finland,Euro,Males,Other service activities,All ISCED 2011 levels,3446
Sweden,Euro,Males,Other service activities,All ISCED 2011 levels,3542
Norway,Euro,Males,Other service activities,All ISCED 2011 levels,4861
Switzerland,Euro,Males,Other service activities,All ISCED 2011 levels,7543
United Kingdom,Euro,Males,Other service activities,All ISCED 2011 levels,3268
North Macedonia,Euro,Males,Other service activities,All ISCED 2011 levels,698
Albania,Euro,Males,Other service activities,All ISCED 2011 levels,464
Serbia,Euro,Males,Other service activities,All ISCED 2011 levels,664
Türkiye,Euro,Males,Other service activities,All ISCED 2011 levels,838
Belgium,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,2725
Bulgaria,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,855
Czechia,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,1493
Denmark,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,3860
Germany,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,3284
Estonia,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,1520
Ireland,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,2749
Greece,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,1532
Spain,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,1911
France,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,2282
Croatia,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,2088
Italy,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,1951
Latvia,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,1503
Lithuania,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,1270
Luxembourg,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,3995
Hungary,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,1215
Malta,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,2533
Netherlands,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,3094
Austria,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,2954
Poland,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,1777
Portugal,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,1728
Romania,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,1566
Slovenia,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,1858
Slovakia,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,997
Finland,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,2736
Sweden,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,2866
Norway,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,3219
Switzerland,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,4835
United Kingdom,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,2721
North Macedonia,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,1400
Albania,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,858
Serbia,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,1193
Türkiye,Purchasing power standard (PPS),Males,Other service activities,All ISCED 2011 levels,1825
Belgium,Euro,Females,Other service activities,All ISCED 2011 levels,2964
Bulgaria,Euro,Females,Other service activities,All ISCED 2011 levels,474
Czechia,Euro,Females,Other service activities,All ISCED 2011 levels,901
Denmark,Euro,Females,Other service activities,All ISCED 2011 levels,4741
Germany,Euro,Females,Other service activities,All ISCED 2011 levels,2909
Estonia,Euro,Females,Other service activities,All ISCED 2011 levels,1103
Ireland,Euro,Females,Other service activities,All ISCED 2011 levels,2704
Greece,Euro,Females,Other service activities,All ISCED 2011 levels,1175
Spain,Euro,Females,Other service activities,All ISCED 2011 levels,1581
France,Euro,Females,Other service activities,All ISCED 2011 levels,2337
Croatia,Euro,Females,Other service activities,All ISCED 2011 levels,995
Italy,Euro,Females,Other service activities,All ISCED 2011 levels,1765
Latvia,Euro,Females,Other service activities,All ISCED 2011 levels,1029
Lithuania,Euro,Females,Other service activities,All ISCED 2011 levels,792
Luxembourg,Euro,Females,Other service activities,All ISCED 2011 levels,3802
Hungary,Euro,Females,Other service activities,All ISCED 2011 levels,630
Malta,Euro,Females,Other service activities,All ISCED 2011 levels,1507
Netherlands,Euro,Females,Other service activities,All ISCED 2011 levels,3040
Austria,Euro,Females,Other service activities,All ISCED 2011 levels,2412
Poland,Euro,Females,Other service activities,All ISCED 2011 levels,738
Portugal,Euro,Females,Other service activities,All ISCED 2011 levels,1075
Romania,Euro,Females,Other service activities,All ISCED 2011 levels,655
Slovenia,Euro,Females,Other service activities,All ISCED 2011 levels,1485
Slovakia,Euro,Females,Other service activities,All ISCED 2011 levels,858
Finland,Euro,Females,Other service activities,All ISCED 2011 levels,2856
Sweden,Euro,Females,Other service activities,All ISCED 2011 levels,3283
Norway,Euro,Females,Other service activities,All ISCED 2011 levels,4210
Switzerland,Euro,Females,Other service activities,All ISCED 2011 levels,6189
United Kingdom,Euro,Females,Other service activities,All ISCED 2011 levels,2732
North Macedonia,Euro,Females,Other service activities,All ISCED 2011 levels,868
Albania,Euro,Females,Other service activities,All ISCED 2011 levels,438
Serbia,Euro,Females,Other service activities,All ISCED 2011 levels,644
Türkiye,Euro,Females,Other service activities,All ISCED 2011 levels,831
Belgium,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,2582
Bulgaria,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,911
Czechia,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,1227
Denmark,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,3349
Germany,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,2723
Estonia,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,1330
Ireland,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,2038
Greece,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,1359
Spain,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,1652
France,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,2057
Croatia,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,1418
Italy,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,1706
Latvia,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,1345
Lithuania,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,1165
Luxembourg,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,2936
Hungary,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,978
Malta,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,1770
Netherlands,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,2632
Austria,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,2154
Poland,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,1240
Portugal,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,1207
Romania,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,1211
Slovenia,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,1703
Slovakia,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,1077
Finland,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,2268
Sweden,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,2656
Norway,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,2787
Switzerland,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,3968
United Kingdom,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,2275
North Macedonia,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,1740
Albania,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,810
Serbia,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,1157
Türkiye,Purchasing power standard (PPS),Females,Other service activities,All ISCED 2011 levels,1810
Bulgaria,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),382
Czechia,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),858
Denmark,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),3295
Germany,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),2039
Estonia,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),1063
Ireland,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),2707
Spain,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),1594
France,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),2160
Croatia,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),794
Italy,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),2110
Cyprus,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),1296
Latvia,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),852
Lithuania,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),662
Luxembourg,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),3122
Hungary,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),571
Malta,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),1643
Netherlands,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),2204
Poland,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),756
Romania,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),591
Slovenia,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),1153
Slovakia,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),702
Finland,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),2828
Sweden,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),2916
Iceland,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),4012
Norway,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),3728
Switzerland,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),4918
United Kingdom,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),2716
North Macedonia,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),455
Serbia,Euro,Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),439
Bulgaria,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),735
Czechia,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),1168
Denmark,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),2328
Germany,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),1909
Estonia,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),1282
Ireland,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),2040
Spain,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),1666
France,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),1901
Croatia,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),1131
Italy,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),2039
Cyprus,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),1441
Latvia,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),1114
Lithuania,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),975
Luxembourg,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),2411
Hungary,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),886
Malta,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),1930
Netherlands,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),1908
Poland,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),1269
Romania,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),1093
Slovenia,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),1322
Slovakia,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),881
Finland,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),2245
Sweden,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),2359
Iceland,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),2471
Norway,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),2468
Switzerland,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),3153
United Kingdom,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),2261
North Macedonia,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),913
Serbia,Purchasing power standard (PPS),Total,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),789
Bulgaria,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),407
Czechia,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),922
Denmark,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Less than primary primary and lower secondary education (levels 0-2),3576
