TIME,GEO,DEG_URB,VALUE
2008,Luxembourg,Towns and suburbs,7.5
2009,Luxembourg,Towns and suburbs,10.4
2010,Luxembourg,Towns and suburbs,9.4
2011,Luxembourg,Towns and suburbs,9.6
2012,Luxembourg,Towns and suburbs,22.3
2013,Luxembourg,Towns and suburbs,16.4
2014,Luxembourg,Towns and suburbs,22.7
2015,Luxembourg,Towns and suburbs,17.6
2016,Luxembourg,Towns and suburbs,15.2
2017,Luxembourg,Towns and suburbs,13.3
2018,Luxembourg,Towns and suburbs,11.4
2019,Luxembourg,Towns and suburbs,13.3
2020,Luxembourg,Towns and suburbs,13
2023,Luxembourg,Towns and suburbs,5.7
2005,Hungary,Towns and suburbs,12.1
2006,Hungary,Towns and suburbs,8.6
2007,Hungary,Towns and suburbs,12.1
2008,Hungary,Towns and suburbs,14.7
2009,Hungary,Towns and suburbs,12.7
2010,Hungary,Towns and suburbs,12
2011,Hungary,Towns and suburbs,11.4
2012,Hungary,Towns and suburbs,11.2
2013,Hungary,Towns and suburbs,12.7
2014,Hungary,Towns and suburbs,12.1
2015,Hungary,Towns and suburbs,12.6
2016,Hungary,Towns and suburbs,12.3
2017,Hungary,Towns and suburbs,7
2018,Hungary,Towns and suburbs,4.7
2019,Hungary,Towns and suburbs,5.3
2020,Hungary,Towns and suburbs,5
2023,Hungary,Towns and suburbs,6.9
2005,Malta,Towns and suburbs,2.9
2006,Malta,Towns and suburbs,5.5
2007,Malta,Towns and suburbs,6
2008,Malta,Towns and suburbs,6.4
2009,Malta,Towns and suburbs,5.5
2010,Malta,Towns and suburbs,4.3
2011,Malta,Towns and suburbs,4.4
2012,Malta,Towns and suburbs,7.2
2013,Malta,Towns and suburbs,9
2014,Malta,Towns and suburbs,8.5
2015,Malta,Towns and suburbs,2.4
2016,Malta,Towns and suburbs,5.6
2017,Malta,Towns and suburbs,4.8
2018,Malta,Towns and suburbs,4
2019,Malta,Towns and suburbs,4.1
2020,Malta,Towns and suburbs,2.6
2023,Malta,Towns and suburbs,6.5
2005,Netherlands,Towns and suburbs,12.8
2006,Netherlands,Towns and suburbs,10.9
2007,Netherlands,Towns and suburbs,11.8
2008,Netherlands,Towns and suburbs,9.8
2009,Netherlands,Towns and suburbs,15.4
2010,Netherlands,Towns and suburbs,10.3
2011,Netherlands,Towns and suburbs,11.7
2012,Netherlands,Towns and suburbs,16.1
2013,Netherlands,Towns and suburbs,15.7
2014,Netherlands,Towns and suburbs,15.3
2015,Netherlands,Towns and suburbs,14.2
2016,Netherlands,Towns and suburbs,12.2
2017,Netherlands,Towns and suburbs,10.7
2018,Netherlands,Towns and suburbs,12.4
2019,Netherlands,Towns and suburbs,11.1
2020,Netherlands,Towns and suburbs,10.5
2023,Netherlands,Towns and suburbs,10.4
2004,Austria,Towns and suburbs,7.7
2005,Austria,Towns and suburbs,9.6
2006,Austria,Towns and suburbs,10.8
2007,Austria,Towns and suburbs,10.2
2008,Austria,Towns and suburbs,8.2
2009,Austria,Towns and suburbs,13
2010,Austria,Towns and suburbs,11.6
2011,Austria,Towns and suburbs,9.2
2012,Austria,Towns and suburbs,10.4
2013,Austria,Towns and suburbs,9.4
2014,Austria,Towns and suburbs,11.2
2015,Austria,Towns and suburbs,10.8
2016,Austria,Towns and suburbs,11.1
2017,Austria,Towns and suburbs,9.1
2018,Austria,Towns and suburbs,8
2019,Austria,Towns and suburbs,7.2
2020,Austria,Towns and suburbs,4.1
2023,Austria,Towns and suburbs,4.9
2005,Poland,Towns and suburbs,4.1
2006,Poland,Towns and suburbs,4.2
2007,Poland,Towns and suburbs,3.6
2008,Poland,Towns and suburbs,2.9
2009,Poland,Towns and suburbs,2.9
2010,Poland,Towns and suburbs,2.3
2011,Poland,Towns and suburbs,2.9
2012,Poland,Towns and suburbs,5.4
2013,Poland,Towns and suburbs,5.7
2014,Poland,Towns and suburbs,5.3
2015,Poland,Towns and suburbs,4.4
2016,Poland,Towns and suburbs,5.2
2017,Poland,Towns and suburbs,5.5
2018,Poland,Towns and suburbs,4.7
2019,Poland,Towns and suburbs,3.2
2023,Poland,Towns and suburbs,1.8
2004,Portugal,Towns and suburbs,8.7
2005,Portugal,Towns and suburbs,8
2006,Portugal,Towns and suburbs,7.6
2007,Portugal,Towns and suburbs,7.3
2008,Portugal,Towns and suburbs,8.8
2009,Portugal,Towns and suburbs,8.9
2010,Portugal,Towns and suburbs,7.3
2011,Portugal,Towns and suburbs,4.8
2012,Portugal,Towns and suburbs,7.9
2013,Portugal,Towns and suburbs,10.5
2014,Portugal,Towns and suburbs,10.8
2015,Portugal,Towns and suburbs,10
2016,Portugal,Towns and suburbs,7.2
2017,Portugal,Towns and suburbs,6.6
2018,Portugal,Towns and suburbs,5.3
2019,Portugal,Towns and suburbs,6
2020,Portugal,Towns and suburbs,5.1
2023,Portugal,Towns and suburbs,4.6
2007,Romania,Towns and suburbs,12.6
2008,Romania,Towns and suburbs,0.3
2009,Romania,Towns and suburbs,2.7
2010,Romania,Towns and suburbs,1.6
2011,Romania,Towns and suburbs,0.2
2012,Romania,Towns and suburbs,12.7
2013,Romania,Towns and suburbs,14.6
2014,Romania,Towns and suburbs,14.3
2015,Romania,Towns and suburbs,13.7
2016,Romania,Towns and suburbs,12.5
2017,Romania,Towns and suburbs,11.6
2018,Romania,Towns and suburbs,10.9
2019,Romania,Towns and suburbs,8.4
2020,Romania,Towns and suburbs,7.4
2023,Romania,Towns and suburbs,6.4
2005,Slovenia,Towns and suburbs,9.2
2006,Slovenia,Towns and suburbs,9.3
2007,Slovenia,Towns and suburbs,10.6
2008,Slovenia,Towns and suburbs,9.6
2009,Slovenia,Towns and suburbs,13.9
2010,Slovenia,Towns and suburbs,9.4
2011,Slovenia,Towns and suburbs,7.9
2012,Slovenia,Towns and suburbs,6.7
2013,Slovenia,Towns and suburbs,8.1
2014,Slovenia,Towns and suburbs,9.2
2015,Slovenia,Towns and suburbs,9.4
2016,Slovenia,Towns and suburbs,8.6
2017,Slovenia,Towns and suburbs,8.2
2018,Slovenia,Towns and suburbs,8.4
2019,Slovenia,Towns and suburbs,7.7
2020,Slovenia,Towns and suburbs,6.9
2023,Slovenia,Towns and suburbs,6.6
2005,Slovakia,Towns and suburbs,8.5
2006,Slovakia,Towns and suburbs,6.6
2007,Slovakia,Towns and suburbs,5.5
2008,Slovakia,Towns and suburbs,6.3
2009,Slovakia,Towns and suburbs,9.2
2010,Slovakia,Towns and suburbs,8.5
2011,Slovakia,Towns and suburbs,8.8
2012,Slovakia,Towns and suburbs,9.4
2013,Slovakia,Towns and suburbs,10.8
2014,Slovakia,Towns and suburbs,10.1
2015,Slovakia,Towns and suburbs,7.8
2016,Slovakia,Towns and suburbs,8.1
2017,Slovakia,Towns and suburbs,7.6
2018,Slovakia,Towns and suburbs,6.4
2019,Slovakia,Towns and suburbs,7.8
2020,Slovakia,Towns and suburbs,5.1
2023,Slovakia,Towns and suburbs,2.9
2004,Finland,Towns and suburbs,19.7
2005,Finland,Towns and suburbs,22.6
2006,Finland,Towns and suburbs,18.6
2007,Finland,Towns and suburbs,16
2008,Finland,Towns and suburbs,16.1
2009,Finland,Towns and suburbs,14.5
2010,Finland,Towns and suburbs,10.2
2011,Finland,Towns and suburbs,8.5
2012,Finland,Towns and suburbs,10.6
2013,Finland,Towns and suburbs,8.6
2014,Finland,Towns and suburbs,6.8
2015,Finland,Towns and suburbs,6.3
2016,Finland,Towns and suburbs,6.4
2017,Finland,Towns and suburbs,5.3
2018,Finland,Towns and suburbs,6.1
2019,Finland,Towns and suburbs,5.6
2020,Finland,Towns and suburbs,5.8
2023,Finland,Towns and suburbs,10
2004,Sweden,Towns and suburbs,11.2
2005,Sweden,Towns and suburbs,10.2
2006,Sweden,Towns and suburbs,13.6
2007,Sweden,Towns and suburbs,14.6
2008,Sweden,Towns and suburbs,15.9
2009,Sweden,Towns and suburbs,14.8
2010,Sweden,Towns and suburbs,11.4
2011,Sweden,Towns and suburbs,12.1
2012,Sweden,Towns and suburbs,11.6
2013,Sweden,Towns and suburbs,8.6
2014,Sweden,Towns and suburbs,10
2015,Sweden,Towns and suburbs,9.6
2016,Sweden,Towns and suburbs,11
2017,Sweden,Towns and suburbs,10.8
2018,Sweden,Towns and suburbs,13
2019,Sweden,Towns and suburbs,10.2
2020,Sweden,Towns and suburbs,10.4
2023,Sweden,Towns and suburbs,7.1
2014,Iceland,Towns and suburbs,2.2
2015,Iceland,Towns and suburbs,1.8
2016,Iceland,Towns and suburbs,2
2017,Iceland,Towns and suburbs,1.9
2018,Iceland,Towns and suburbs,2
2019,Iceland,Towns and suburbs,2.6
2004,Norway,Towns and suburbs,6.2
2005,Norway,Towns and suburbs,4.8
2006,Norway,Towns and suburbs,5.8
2007,Norway,Towns and suburbs,5.2
2008,Norway,Towns and suburbs,5.8
2009,Norway,Towns and suburbs,4.9
2010,Norway,Towns and suburbs,4.3
2011,Norway,Towns and suburbs,3.5
2012,Norway,Towns and suburbs,5
2013,Norway,Towns and suburbs,3.7
2015,Norway,Towns and suburbs,4.8
2016,Norway,Towns and suburbs,4.1
2017,Norway,Towns and suburbs,3.3
2018,Norway,Towns and suburbs,3.7
2019,Norway,Towns and suburbs,3.3
2020,Norway,Towns and suburbs,3.7
2023,Norway,Towns and suburbs,5.6
2007,Switzerland,Towns and suburbs,9.8
2008,Switzerland,Towns and suburbs,10
2009,Switzerland,Towns and suburbs,8.2
2010,Switzerland,Towns and suburbs,9.9
2011,Switzerland,Towns and suburbs,10.4
2012,Switzerland,Towns and suburbs,15.3
2013,Switzerland,Towns and suburbs,13.2
2014,Switzerland,Towns and suburbs,13.9
2015,Switzerland,Towns and suburbs,11.3
2016,Switzerland,Towns and suburbs,9.3
2017,Switzerland,Towns and suburbs,7.8
2018,Switzerland,Towns and suburbs,7.1
2019,Switzerland,Towns and suburbs,6.5
2020,Switzerland,Towns and suburbs,5.9
2005,United Kingdom,Towns and suburbs,21.6
2006,United Kingdom,Towns and suburbs,18.9
2007,United Kingdom,Towns and suburbs,19.1
2008,United Kingdom,Towns and suburbs,18.9
2009,United Kingdom,Towns and suburbs,18.4
2010,United Kingdom,Towns and suburbs,19
2011,United Kingdom,Towns and suburbs,16.4
2012,United Kingdom,Towns and suburbs,15.9
2013,United Kingdom,Towns and suburbs,12.7
2014,United Kingdom,Towns and suburbs,13.1
2015,United Kingdom,Towns and suburbs,12.1
2016,United Kingdom,Towns and suburbs,11.7
2017,United Kingdom,Towns and suburbs,14.2
2018,United Kingdom,Towns and suburbs,16.6
2010,North Macedonia,Towns and suburbs,2.8
2011,North Macedonia,Towns and suburbs,3
2016,North Macedonia,Towns and suburbs,3.3
2017,North Macedonia,Towns and suburbs,4.3
2018,North Macedonia,Towns and suburbs,4.7
2019,North Macedonia,Towns and suburbs,6.7
2020,North Macedonia,Towns and suburbs,4.6
2017,Albania,Towns and suburbs,0.5
2018,Albania,Towns and suburbs,1.7
2019,Albania,Towns and suburbs,0.3
2020,Albania,Towns and suburbs,0.5
2013,Serbia,Towns and suburbs,18.1
2014,Serbia,Towns and suburbs,21.6
2015,Serbia,Towns and suburbs,15.9
2016,Serbia,Towns and suburbs,18.3
2017,Serbia,Towns and suburbs,13.4
2018,Serbia,Towns and suburbs,15.4
2019,Serbia,Towns and suburbs,11.1
2020,Serbia,Towns and suburbs,7.3
2003,Belgium,Rural areas,11.6
2004,Belgium,Rural areas,9
2005,Belgium,Rural areas,14.7
2006,Belgium,Rural areas,15
2007,Belgium,Rural areas,16.6
2008,Belgium,Rural areas,14.2
2009,Belgium,Rural areas,7
2010,Belgium,Rural areas,11
2011,Belgium,Rural areas,6.3
2012,Belgium,Rural areas,8.1
2013,Belgium,Rural areas,13.4
2014,Belgium,Rural areas,10.1
2015,Belgium,Rural areas,12.1
2016,Belgium,Rural areas,9
2017,Belgium,Rural areas,10
2018,Belgium,Rural areas,12
2019,Belgium,Rural areas,11
2020,Belgium,Rural areas,8.3
2023,Belgium,Rural areas,6.2
2005,Bulgaria,Rural areas,14.7
2006,Bulgaria,Rural areas,14.7
2007,Bulgaria,Rural areas,19.7
2008,Bulgaria,Rural areas,17.2
2009,Bulgaria,Rural areas,21.6
2010,Bulgaria,Rural areas,21.3
2011,Bulgaria,Rural areas,19.8
2012,Bulgaria,Rural areas,17.5
2013,Bulgaria,Rural areas,18.7
2014,Bulgaria,Rural areas,19.9
2015,Bulgaria,Rural areas,19.7
2016,Bulgaria,Rural areas,17.2
2017,Bulgaria,Rural areas,17.8
2018,Bulgaria,Rural areas,17.5
2019,Bulgaria,Rural areas,14.3
2020,Bulgaria,Rural areas,12.9
2023,Bulgaria,Rural areas,9.3
2005,Czechia,Rural areas,10.4
2006,Czechia,Rural areas,7.8
2007,Czechia,Rural areas,7.2
2008,Czechia,Rural areas,7.6
2009,Czechia,Rural areas,10.9
2010,Czechia,Rural areas,9.5
2011,Czechia,Rural areas,9.9
2012,Czechia,Rural areas,8.7
2013,Czechia,Rural areas,9.4
2014,Czechia,Rural areas,7.6
2015,Czechia,Rural areas,6.8
2016,Czechia,Rural areas,6.6
2017,Czechia,Rural areas,4.2
2018,Czechia,Rural areas,3.4
2019,Czechia,Rural areas,3.2
2020,Czechia,Rural areas,3.1
2023,Czechia,Rural areas,2.6
2003,Denmark,Rural areas,6.8
2004,Denmark,Rural areas,9.7
2005,Denmark,Rural areas,10.1
2006,Denmark,Rural areas,9.6
2007,Denmark,Rural areas,10.9
2008,Denmark,Rural areas,11.4
2009,Denmark,Rural areas,10.8
2010,Denmark,Rural areas,10.3
2011,Denmark,Rural areas,11.6
2012,Denmark,Rural areas,6.3
2013,Denmark,Rural areas,5.3
2014,Denmark,Rural areas,5.3
2015,Denmark,Rural areas,5
2016,Denmark,Rural areas,4
2017,Denmark,Rural areas,4
2018,Denmark,Rural areas,3.8
2019,Denmark,Rural areas,3.9
2020,Denmark,Rural areas,4.6
2023,Denmark,Rural areas,2.4
2005,Germany,Rural areas,6.7
2006,Germany,Rural areas,6.2
2007,Germany,Rural areas,6.9
2008,Germany,Rural areas,6.1
2009,Germany,Rural areas,7.1
2010,Germany,Rural areas,6.5
2011,Germany,Rural areas,6.6
2012,Germany,Rural areas,5.5
2013,Germany,Rural areas,4.8
2014,Germany,Rural areas,5.3
2015,Germany,Rural areas,5.1
2016,Germany,Rural areas,5.9
2017,Germany,Rural areas,5.7
2018,Germany,Rural areas,5.2
2019,Germany,Rural areas,5.2
2020,Germany,Rural areas,1.5
2023,Germany,Rural areas,3.2
2004,Estonia,Rural areas,20.1
2005,Estonia,Rural areas,16.6
2006,Estonia,Rural areas,13.2
2007,Estonia,Rural areas,12.6
2008,Estonia,Rural areas,12.1
2009,Estonia,Rural areas,12.3
2010,Estonia,Rural areas,12.4
2011,Estonia,Rural areas,9.5
2012,Estonia,Rural areas,9.8
2013,Estonia,Rural areas,10.1
2014,Estonia,Rural areas,7.3
2015,Estonia,Rural areas,6.9
2016,Estonia,Rural areas,5.3
2017,Estonia,Rural areas,4.2
2018,Estonia,Rural areas,5.4
2019,Estonia,Rural areas,4.7
2020,Estonia,Rural areas,4.3
2023,Estonia,Rural areas,2.4
2003,Ireland,Rural areas,5
2004,Ireland,Rural areas,5
2005,Ireland,Rural areas,4.4
2006,Ireland,Rural areas,5.3
2007,Ireland,Rural areas,5.3
2008,Ireland,Rural areas,4.3
2009,Ireland,Rural areas,7.5
2010,Ireland,Rural areas,4.8
2011,Ireland,Rural areas,4.8
2012,Ireland,Rural areas,6.4
2013,Ireland,Rural areas,8.6
2014,Ireland,Rural areas,7.6
2015,Ireland,Rural areas,7.3
2016,Ireland,Rural areas,5.7
2017,Ireland,Rural areas,5
2018,Ireland,Rural areas,4.7
2019,Ireland,Rural areas,3.5
2020,Ireland,Rural areas,5.4
2003,Greece,Rural areas,4.1
2004,Greece,Rural areas,4.6
2005,Greece,Rural areas,4.2
2006,Greece,Rural areas,2.4
2007,Greece,Rural areas,2.4
2008,Greece,Rural areas,3.9
2009,Greece,Rural areas,7.8
2010,Greece,Rural areas,5.5
2011,Greece,Rural areas,10.6
2012,Greece,Rural areas,9.9
2013,Greece,Rural areas,8.7
2014,Greece,Rural areas,9.5
2015,Greece,Rural areas,5
2016,Greece,Rural areas,4.7
2017,Greece,Rural areas,4.6
2018,Greece,Rural areas,2.9
2019,Greece,Rural areas,5.7
2020,Greece,Rural areas,6.2
2023,Greece,Rural areas,16.4
2004,Spain,Rural areas,8.9
2005,Spain,Rural areas,8.9
2006,Spain,Rural areas,9.6
2007,Spain,Rural areas,11.1
2008,Spain,Rural areas,8.5
2009,Spain,Rural areas,9.9
2010,Spain,Rural areas,7
2011,Spain,Rural areas,6
2012,Spain,Rural areas,5.5
2013,Spain,Rural areas,8.4
2014,Spain,Rural areas,7.7
2015,Spain,Rural areas,4.9
2016,Spain,Rural areas,6.3
2017,Spain,Rural areas,4.7
2018,Spain,Rural areas,6.1
2019,Spain,Rural areas,6.6
2020,Spain,Rural areas,9.5
2023,Spain,Rural areas,7.9
2004,France,Rural areas,9.2
2005,France,Rural areas,5.7
2006,France,Rural areas,6
2007,France,Rural areas,6.6
2008,France,Rural areas,6.1
2009,France,Rural areas,5.6
2010,France,Rural areas,6.2
2011,France,Rural areas,5.7
2012,France,Rural areas,8
2013,France,Rural areas,8.5
2014,France,Rural areas,8.6
2015,France,Rural areas,6.9
2016,France,Rural areas,7.9
2017,France,Rural areas,6.8
2018,France,Rural areas,7.2
2019,France,Rural areas,7.5
2020,France,Rural areas,9.2
2023,France,Rural areas,7
2010,Croatia,Rural areas,2
2011,Croatia,Rural areas,1.8
2012,Croatia,Rural areas,1.5
2013,Croatia,Rural areas,2
2014,Croatia,Rural areas,1
2015,Croatia,Rural areas,0.8
2016,Croatia,Rural areas,0.8
2017,Croatia,Rural areas,1.3
2018,Croatia,Rural areas,1
2019,Croatia,Rural areas,1.1
2020,Croatia,Rural areas,0.9
2023,Croatia,Rural areas,0.4
2004,Italy,Rural areas,3.3
2005,Italy,Rural areas,2.7
2006,Italy,Rural areas,3.2
2007,Italy,Rural areas,3.5
2008,Italy,Rural areas,3.2
2009,Italy,Rural areas,3.9
2010,Italy,Rural areas,3.2
2011,Italy,Rural areas,4.2
2012,Italy,Rural areas,4
2013,Italy,Rural areas,5.4
2014,Italy,Rural areas,7.8
2015,Italy,Rural areas,13.1
2016,Italy,Rural areas,8.4
2017,Italy,Rural areas,7
2018,Italy,Rural areas,6.3
2019,Italy,Rural areas,5.4
2020,Italy,Rural areas,4.2
2023,Italy,Rural areas,2.7
2005,Cyprus,Rural areas,11.1
2006,Cyprus,Rural areas,13.1
2007,Cyprus,Rural areas,13.5
2008,Cyprus,Rural areas,10.5
2009,Cyprus,Rural areas,6.7
2010,Cyprus,Rural areas,10
2011,Cyprus,Rural areas,12.9
2012,Cyprus,Rural areas,10.9
2013,Cyprus,Rural areas,15.5
2014,Cyprus,Rural areas,7.7
2015,Cyprus,Rural areas,10.6
2016,Cyprus,Rural areas,7.7
2017,Cyprus,Rural areas,9.2
2018,Cyprus,Rural areas,7.8
2019,Cyprus,Rural areas,8.5
2020,Cyprus,Rural areas,9.1
2023,Cyprus,Rural areas,9.9
2005,Latvia,Rural areas,14.2
2006,Latvia,Rural areas,24.6
2007,Latvia,Rural areas,21.9
2008,Latvia,Rural areas,23.3
2009,Latvia,Rural areas,20.4
2010,Latvia,Rural areas,15.5
2011,Latvia,Rural areas,12.5
2012,Latvia,Rural areas,13.1
2013,Latvia,Rural areas,6.1
2014,Latvia,Rural areas,6.9
2015,Latvia,Rural areas,4.6
2016,Latvia,Rural areas,3.4
2017,Latvia,Rural areas,3.5
2018,Latvia,Rural areas,1.4
2019,Latvia,Rural areas,1.3
2020,Latvia,Rural areas,2.6
2023,Latvia,Rural areas,1.4
2005,Lithuania,Rural areas,5.5
2006,Lithuania,Rural areas,4.7
2007,Lithuania,Rural areas,2.9
2008,Lithuania,Rural areas,2.8
2009,Lithuania,Rural areas,3.5
2010,Lithuania,Rural areas,2.5
2011,Lithuania,Rural areas,1.9
2012,Lithuania,Rural areas,1.5
2013,Lithuania,Rural areas,3.3
2014,Lithuania,Rural areas,3.3
2015,Lithuania,Rural areas,3
2016,Lithuania,Rural areas,2
2017,Lithuania,Rural areas,4.6
2018,Lithuania,Rural areas,2.8
2019,Lithuania,Rural areas,1.9
2020,Lithuania,Rural areas,2.1
2023,Lithuania,Rural areas,1.3
2003,Luxembourg,Rural areas,12.1
2004,Luxembourg,Rural areas,11.4
2005,Luxembourg,Rural areas,11.6
2006,Luxembourg,Rural areas,4.7
2007,Luxembourg,Rural areas,5
2008,Luxembourg,Rural areas,5.5
2009,Luxembourg,Rural areas,5
2010,Luxembourg,Rural areas,2.8
2011,Luxembourg,Rural areas,3.9
2012,Luxembourg,Rural areas,7.4
2013,Luxembourg,Rural areas,9.6
2014,Luxembourg,Rural areas,11.9
2015,Luxembourg,Rural areas,11.2
2016,Luxembourg,Rural areas,9.4
2017,Luxembourg,Rural areas,9.3
2018,Luxembourg,Rural areas,8.6
2019,Luxembourg,Rural areas,6.9
2020,Luxembourg,Rural areas,7.2
2023,Luxembourg,Rural areas,2.9
2005,Hungary,Rural areas,5.8
2006,Hungary,Rural areas,6.3
2007,Hungary,Rural areas,10
2008,Hungary,Rural areas,11.2
2009,Hungary,Rural areas,9
2010,Hungary,Rural areas,10.3
2011,Hungary,Rural areas,9.1
2012,Hungary,Rural areas,9.7
2013,Hungary,Rural areas,11.5
2014,Hungary,Rural areas,13.2
2015,Hungary,Rural areas,9.4
2016,Hungary,Rural areas,8.4
2017,Hungary,Rural areas,5.7
2018,Hungary,Rural areas,4
2019,Hungary,Rural areas,5.6
2020,Hungary,Rural areas,5.6
2023,Hungary,Rural areas,6.2
2014,Malta,Rural areas,0
2015,Malta,Rural areas,0
2016,Malta,Rural areas,0
2023,Malta,Rural areas,4.8
2005,Netherlands,Rural areas,11.6
2006,Netherlands,Rural areas,8
2007,Netherlands,Rural areas,7.5
2008,Netherlands,Rural areas,7.2
2009,Netherlands,Rural areas,10.3
2010,Netherlands,Rural areas,8.6
2011,Netherlands,Rural areas,10.3
2012,Netherlands,Rural areas,8.8
2013,Netherlands,Rural areas,9
2014,Netherlands,Rural areas,10.8
2015,Netherlands,Rural areas,9.2
2016,Netherlands,Rural areas,8.1
2017,Netherlands,Rural areas,8.1
2018,Netherlands,Rural areas,8.1
2019,Netherlands,Rural areas,9.4
2020,Netherlands,Rural areas,7.5
2023,Netherlands,Rural areas,9.1
2004,Austria,Rural areas,2.9
2005,Austria,Rural areas,4.8
2006,Austria,Rural areas,4.6
2007,Austria,Rural areas,4.7
2008,Austria,Rural areas,3.4
2009,Austria,Rural areas,6.7
2010,Austria,Rural areas,6.6
2011,Austria,Rural areas,5.7
2012,Austria,Rural areas,5.9
2013,Austria,Rural areas,5.5
2014,Austria,Rural areas,6.9
2015,Austria,Rural areas,7.3
2016,Austria,Rural areas,6.2
2017,Austria,Rural areas,5.6
2018,Austria,Rural areas,5.2
2019,Austria,Rural areas,3
2020,Austria,Rural areas,2.4
2023,Austria,Rural areas,2.4
2005,Poland,Rural areas,3.8
2006,Poland,Rural areas,3.2
2007,Poland,Rural areas,3.3
2008,Poland,Rural areas,3.6
2009,Poland,Rural areas,3.3
2010,Poland,Rural areas,2.8
2011,Poland,Rural areas,2.7
2012,Poland,Rural areas,2
2013,Poland,Rural areas,2.3
2014,Poland,Rural areas,2.5
2015,Poland,Rural areas,2
2016,Poland,Rural areas,2
2017,Poland,Rural areas,1.6
2018,Poland,Rural areas,2.1
2019,Poland,Rural areas,1.6
2023,Poland,Rural areas,1
2004,Portugal,Rural areas,3.3
2005,Portugal,Rural areas,3.6
2006,Portugal,Rural areas,3
2007,Portugal,Rural areas,3
2008,Portugal,Rural areas,1.6
2009,Portugal,Rural areas,3
2010,Portugal,Rural areas,2.4
2011,Portugal,Rural areas,2.6
2012,Portugal,Rural areas,4.9
2013,Portugal,Rural areas,6.7
2014,Portugal,Rural areas,5.3
2015,Portugal,Rural areas,4.8
2016,Portugal,Rural areas,3.5
2017,Portugal,Rural areas,4.1
2018,Portugal,Rural areas,2.9
2019,Portugal,Rural areas,3.3
2020,Portugal,Rural areas,4.4
2023,Portugal,Rural areas,3
2007,Romania,Rural areas,12.9
2008,Romania,Rural areas,9.6
2009,Romania,Rural areas,12.1
2010,Romania,Rural areas,11.5
2011,Romania,Rural areas,12.5
2012,Romania,Rural areas,10.2
2013,Romania,Rural areas,14.8
2014,Romania,Rural areas,12.2
2015,Romania,Rural areas,10.4
2016,Romania,Rural areas,10.8
2017,Romania,Rural areas,8.8
2018,Romania,Rural areas,10
2019,Romania,Rural areas,8.2
2020,Romania,Rural areas,8.2
2023,Romania,Rural areas,4.9
2005,Slovenia,Rural areas,4.7
2006,Slovenia,Rural areas,5.5
2007,Slovenia,Rural areas,5.4
2008,Slovenia,Rural areas,4.4
2009,Slovenia,Rural areas,6.3
2010,Slovenia,Rural areas,5.3
2011,Slovenia,Rural areas,5.4
2012,Slovenia,Rural areas,5.3
2013,Slovenia,Rural areas,6.3
2014,Slovenia,Rural areas,7.2
2015,Slovenia,Rural areas,6.3
2016,Slovenia,Rural areas,5.5
2017,Slovenia,Rural areas,5.3
2018,Slovenia,Rural areas,6
2019,Slovenia,Rural areas,6.2
2020,Slovenia,Rural areas,5.4
2023,Slovenia,Rural areas,5.1
2005,Slovakia,Rural areas,5.5
2006,Slovakia,Rural areas,4.8
2007,Slovakia,Rural areas,4.6
2008,Slovakia,Rural areas,6.8
2009,Slovakia,Rural areas,7.1
2010,Slovakia,Rural areas,5.8
2011,Slovakia,Rural areas,5.9
2012,Slovakia,Rural areas,6.4
2013,Slovakia,Rural areas,6.1
2014,Slovakia,Rural areas,5
2015,Slovakia,Rural areas,5
2016,Slovakia,Rural areas,4.3
2017,Slovakia,Rural areas,3.5
2018,Slovakia,Rural areas,3
2019,Slovakia,Rural areas,4
2020,Slovakia,Rural areas,3.2
2023,Slovakia,Rural areas,2.6
2004,Finland,Rural areas,10.9
2005,Finland,Rural areas,10.6
2006,Finland,Rural areas,10
2007,Finland,Rural areas,8.3
2008,Finland,Rural areas,8.4
2009,Finland,Rural areas,8.8
2010,Finland,Rural areas,5.2
2011,Finland,Rural areas,5.4
2012,Finland,Rural areas,5.9
2013,Finland,Rural areas,5.7
2014,Finland,Rural areas,4
2015,Finland,Rural areas,3.7
2016,Finland,Rural areas,3.5
2017,Finland,Rural areas,3.1
2018,Finland,Rural areas,3.2
2019,Finland,Rural areas,3.7
2020,Finland,Rural areas,3.3
2023,Finland,Rural areas,5.5
2004,Sweden,Rural areas,8.5
2005,Sweden,Rural areas,8.2
2006,Sweden,Rural areas,10.9
2007,Sweden,Rural areas,11.4
2008,Sweden,Rural areas,11.4
2009,Sweden,Rural areas,10.6
2010,Sweden,Rural areas,8.1
2011,Sweden,Rural areas,8.3
2012,Sweden,Rural areas,7.8
2013,Sweden,Rural areas,6.7
2014,Sweden,Rural areas,5.8
2015,Sweden,Rural areas,7.8
2016,Sweden,Rural areas,9.4
2017,Sweden,Rural areas,9.5
2018,Sweden,Rural areas,10.4
2019,Sweden,Rural areas,9.1
2020,Sweden,Rural areas,8.4
2023,Sweden,Rural areas,6
2004,Iceland,Rural areas,1.9
2005,Iceland,Rural areas,1.8
2006,Iceland,Rural areas,0.9
2007,Iceland,Rural areas,1.8
2008,Iceland,Rural areas,1.4
2009,Iceland,Rural areas,2.1
2010,Iceland,Rural areas,1.4
2011,Iceland,Rural areas,0.9
2012,Iceland,Rural areas,1.6
2013,Iceland,Rural areas,1.6
2014,Iceland,Rural areas,0.1
2015,Iceland,Rural areas,0.2
2016,Iceland,Rural areas,0.5
